"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","144","2.563","3.5","12.5","28.5","30.6","14.6","4.2","4.9","1.4",".",".",".",".",".",".",".","."
"","201
002","123","2.574","6.5","8.9","26.8","32.5","14.6","4.9","4.1","0.8",".",".",".",".","0.8",".",".","."
"Statics","Course Total","267","2.568","4.9","10.9","27.7","31.5","14.6","4.5","4.5","1.1",".",".",".",".","0.4",".",".","."
"Dynamics","202
001","133","2.782","4.5","19.5","37.6","19.5","12.8","4.5","1.5",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303
001","116","2.681","15.5","17.2","20.7","19.0","11.2","13.8","2.6",".",".",".",".",".",".",".",".","."
"","307
001","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","307
002","7","3.143","28.6","28.6","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","307
003","10","2.700",".",".","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","307
004","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","7","2.429","14.3","28.6","14.3",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".","."
"","307
007","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","307
008","8","2.938",".","12.5","75.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
009","7","3.071",".","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
307","12","3.333","16.7","58.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","307
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
013","9","2.778",".","11.1","55.6","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","85","3.059","15.3","27.1","35.3","8.2","10.6","2.4","1.2",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","24","2.957","33.3","8.3","25.0","8.3","8.3","8.3","4.2","4.2",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Design Probs in Engineering","469
001","33","3.167","27.3","21.2","15.2","30.3","6.1",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","31","2.468","22.6","3.2","25.8",".","22.6","22.6","3.2",".",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","34","2.706","5.9","17.6","38.2","17.6","11.8","2.9","5.9",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","16","3.531","43.8","25.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
001","33","2.576","9.1","15.2","33.3","9.1","21.2","3.0","9.1",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","9","3.111",".","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Experimental Mechanics","570
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to Finite Elements","605
001","25","3.380","16.0","52.0","28.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Viscoelastic Solids","630
001","27","3.796","70.4","18.5","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","4","***","","","","","","","","","","","","","","","",""
"Theory of Elasticity","700
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Plates,Shells&Pressr Vessel","706
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry & Applicatns-Adv Dynamics","742
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","Page 122 of 410",""
