"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"980
African Law","001","","10","1.444","10.0",".","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"989
Environmental Law and Practice","001","","10","2.278","30.0","10.0","10.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","73","",".",".",".",".",".",".",".","97.3",".",".",".",".","2.7",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","044","","8","",".",".",".",".",".",".",".","62.5",".",".",".",".","37.5",".",".","."
"991","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","15","",".",".",".",".",".",".",".","73.3",".",".",".",".","26.7",".",".","."
