"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.425","25.0","45.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","17","3.529","76.5",".","5.9",".","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","101
004","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","18","3.250","38.9","27.8","16.7",".","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"","101
006","21","3.690","61.9","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","21","3.452","47.6","42.9",".",".",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"","101
009","15","3.682","40.0","20.0","13.3",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"","101
011","20","3.525","40.0","35.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
012","18","3.438","44.4","11.1","22.2",".","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"First Semester French","Course Total","184","3.531","47.8","27.2","14.1","1.6","3.3","2.2","0.5","3.3",".",".",".",".",".",".",".","."
"","102
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","23","3.304","30.4","39.1","4.3","13.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"","102
003","18","3.676","55.6","27.8",".","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"","102
004","21","3.095","19.0","33.3","14.3","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","102
006","21","3.286","19.0","28.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","17","3.367","11.8","41.2","35.3",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","111","3.370","29.7","34.2","18.0","10.8","3.6","0.9",".","2.7",".",".",".",".",".",".",".","."
"","203
001","21","2.929","4.8","33.3","28.6","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","203
002","10","3.600","40.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","19","3.368","31.6","26.3","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","21","3.125","23.8","23.8","14.3","19.0","14.3",".",".",".",".",".",".",".","4.8",".",".","."
"","203
006","25","3.380","24.0","48.0","12.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","203
008","16","3.375","37.5","43.8","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","203
009","20","3.225","15.0","40.0","35.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","203
010","17","2.882",".","29.4","41.2","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","149","3.216","20.8","36.2","21.5","12.1","6.7","1.3","0.7",".",".",".",".",".","0.7",".",".","."
"","204
001","22","2.705",".","18.2","45.5","13.6","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"","204
002","23","3.239","26.1","34.8","13.0","13.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"","204
003","8","3.375","12.5","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","21","3.000","14.3","14.3","42.9","23.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"","204
005","16","3.000",".","25.0","56.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","204
007","17","3.235","23.5","41.2","23.5","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","204
008","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
009","14","3.071","14.3","35.7","21.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","143","3.175","21.7","29.4","28.0","11.2","7.0","2.1","0.7",".",".",".",".",".",".",".",".","."
"French Interdis Studies","211
001","21","3.167","9.5","38.1","33.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","227
001","23","3.457","17.4","65.2","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","17","3.656","35.3","52.9","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","004
227","23","3.370","30.4","43.5","17.4","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","227
005","22","3.682","40.9","54.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
006","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","100","3.571","36.0","50.0","9.0","3.0",".",".","1.0","1.0",".",".",".",".",".",".",".","."
"","228
001","23","3.581","39.1","47.8","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","17","3.345","17.6","35.3","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","Page 212 of 410",""
