"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","3498","3.109","23.4","24.1","22.8","13.8","7.8","2.7","1.0","1.2","0.0","0.0","",".","1.9","0.9","0.3","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","451","2.930","13.5","22.8","27.7","21.3","9.8","3.5","0.9",".",".",".","",".",".","0.4",".",".","."
"Sophomore","","628","3.027","19.9","22.8","25.5","18.3","8.0","3.5","1.0","0.2",".",".","",".",".","0.8","0.2",".","."
"Junior","","997","3.068","21.3","23.8","25.6","15.4","9.1","2.6","1.1","0.2",".",".","",".",".","0.7","0.2",".","."
"Senior","","1131","3.210","26.8","28.6","21.7","9.7","7.3","2.3","1.1","0.2","0.1","0.1","",".","1.5","0.6",".",".","."
"Undergraduates","","3207","3.087","21.9","25.2","24.5","14.8","8.3","2.8","1.1","0.2","0.0","0.0","",".","0.5","0.7","0.1",".","."
"Special","","74","3.092","27.0","10.8","12.2","9.5","5.4","2.7","2.7","17.6",".",".","",".",".","2.7","8.1","1.4","."
"Graduate","","212","3.811","45.8","12.3","1.4","0.5","0.5","0.5",".","11.3",".",".","",".","22.6","3.8",".","1.4","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","3","4.000","66.7",".",".",".",".",".",".",".",".",".","",".",".","33.3",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","5","3.750","40.0","40.0",".",".",".",".",".",".",".",".","",".",".","20.0",".",".","."
"","Dept. Total","3498","3.109","23.4","24.1","22.8","13.8","7.8","2.7","1.0","1.2","0.0","0.0","",".","1.9","0.9","0.3","0.1","."
