"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"EGR","College Total","12342","3.283","34.6","20.3","19.3","7.7","6.2","1.6","0.8","5.3","0.0","0.8","0.0","2.4","0.7","0.0","0.1","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"EGR","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","789","3.522","41.2","31.1","21.2","3.4","1.3","0.5","0.6",".",".","0.1",".",".","0.6",".",".","."
"Sophomore","","1095","3.142","37.2","20.1","19.6","10.5","8.3","1.9","1.6","0.1",".",".",".",".","0.5","0.2",".","."
"Junior","","2153","3.042","29.2","20.3","23.0","12.4","10.2","2.9","1.4","0.2",".","0.1",".",".","0.3",".",".","0.2"
"Senior","","5142","3.225","34.4","21.0","22.8","9.3","8.0","1.9","0.6","0.1",".","0.9","0.0",".","0.7",".","0.1","0.0"
"Undergraduates","","9179","3.197","34.1","21.6","22.3","9.7","8.0","2.0","0.9","0.1",".","0.5","0.0",".","0.6","0.0","0.1","0.1"
"Special","","238","3.188","32.8","20.6","21.8","6.7","6.7","2.9","2.1","3.4",".","0.4",".",".","1.7","0.4","0.4","."
"Graduate","","3216","3.656","38.3","14.6","8.6","1.5","0.7","0.1","0.1","19.8","0.2","5.3","0.1","9.1","1.1",".","0.3","0.0"
"Prof Yr 2","","7","3.786","28.6","14.3",".",".",".",".",".",".",".","28.6",".","28.6",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","4","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"Professionals","","12","3.786","16.7","8.3",".",".",".",".",".","33.3",".","16.7",".","25.0",".",".",".","."
"","College Total","12645","3.283","35.1","19.8","18.8","7.5","6.1","1.6","0.7","5.2","0.0","1.7","0.0","2.3","0.7","0.0","0.1","0.0"
