"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","","50","3.125","30.0","18.0","18.0","18.0","6.0","6.0",".","4.0",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","","56","3.661","55.4","26.8","14.3","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214","001","","23","3.568","34.8","39.1","21.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","001","","22","3.429","50.0","9.1","22.7","9.1",".","4.5",".",".",".",".",".",".","4.5",".",".","."
"Intro to Biblical Lit","227","001","","21","3.524","57.1","14.3","14.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Manga","231","001","","55","2.935","18.2","25.5","14.5","20.0","14.5","3.6","1.8","1.8",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","","30","3.694","56.7","20.0","13.3",".","3.3",".",".","3.3",".",".",".",".","3.3",".",".","."
"The World of Sagas","235","001","","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240","001","","25","3.188","20.0","36.0","16.0","8.0","16.0",".",".","4.0",".",".",".",".",".",".",".","."
"Lit & Culture-Eastrn Europe","241","001","","19","3.194","36.8","26.3","21.1",".",".",".","10.5","5.3",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","001","","85","3.747","50.6","44.7","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Lit:Image-Indiv Ital Renais","256","001","","35","3.500","42.9","22.9","25.7",".","5.7",".",".",".",".",".",".",".","2.9",".",".","."
"Italy & Invention of America","260","001","","29","3.759","58.6","34.5","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","","18","3.639","66.7","22.2",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","","19","3.368","36.8","21.1","36.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","271","001","","29","3.448","34.5","37.9","13.8","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"","271","002","","53","3.491","37.7","45.3","13.2",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","","Course Total","","82","3.478","36.6","42.7","13.4","3.7","1.2",".","2.4",".",".",".",".",".",".",".",".","."
"","275","001","","122","3.375","37.7","31.1","16.4","4.9","4.1","2.5","1.6",".",".",".",".",".","0.8","0.8",".","."
"","275","002","","68","3.721","63.2","27.9","4.4","1.5","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","190","3.524","46.8","30.0","12.1","3.7","3.2","2.1","1.1",".",".",".",".",".","0.5","0.5",".","."
"Topics-20c German Lit(in Tran)","277","001","","25","3.580","44.0","36.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Mod Indonesian Lit in Tran","301","001","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","303","001","","19","3.375","42.1","10.5","5.3","21.1","5.3",".",".",".",".",".",".",".","15.8",".",".","."
"Topics in Dutch Lit in Tran","326","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Transl-Isak Dinesen","334","001","","17","3.241","17.6","23.5","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Japanese Fiction","368","001","","20","3.250","25.0","40.0","20.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","002","","18","3.472","55.6","16.7","16.7",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
