"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","7069","2.800","25.6","11.3","22.7","9.2","18.0","6.9","3.9","0.5","0.0","1.2","0.0","0.1","0.2","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2736","2.822","21.3","11.5","26.5","10.1","20.4","5.7","2.6","0.1",".","1.7",".",".","0.1",".","0.0","."
"Sophomore","","1944","2.700","21.8","11.1","23.0","9.3","20.4","7.8","4.3","0.2",".","1.9","0.1",".","0.1","0.1",".","."
"Junior","","1190","2.691","24.2","13.1","20.7","10.0","16.0","8.6","6.2","0.1",".","0.3",".",".","0.5","0.3",".","0.2"
"Senior","","756","2.720","26.5","12.8","19.3","9.1","15.3","9.9","6.2","0.4",".","0.1",".","0.1",".","0.1",".","."
"Undergraduates","","6626","2.758","22.6","11.8","23.6","9.7","19.0","7.3","4.2","0.1",".","1.3","0.0","0.0","0.2","0.1","0.0","0.0"
"Special","","69","3.244","53.6","2.9","15.9","4.3","11.6","2.9","2.9","1.4",".",".",".",".","1.4",".","2.9","."
"Graduate","","374","3.785","74.1","4.3","7.5","1.6","2.1","0.8",".","5.9","0.3",".",".","1.1","0.5","0.5","1.3","."
"","Dept. Total","7069","2.800","25.6","11.3","22.7","9.2","18.0","6.9","3.9","0.5","0.0","1.2","0.0","0.1","0.2","0.1","0.1","0.0"
