"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","",""
"Research and Thesis","Course Total","10","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Reading","999
006","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"SCAND ST
872","Dept. Total","202","3.665","54.0","23.3","10.9","2.0","0.5","",".","0.5","6.4",".",".",".","0.5","0.5","0.5",".","1.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","33","3.762","60.6","27.3","9.1",".",".","",".",".",".",".",".",".",".",".",".",".","3.0"
"Sophomore","","33","3.496","48.5","21.2","21.2","3.0",".","",".","3.0",".",".",".",".",".",".",".",".","3.0"
"Junior","","32","3.545","43.8","37.5","15.6",".","3.1","",".",".",".",".",".",".",".",".",".",".","."
"Senior","","51","3.682","58.8","25.5","7.8","5.9",".","",".",".",".",".",".",".","2.0",".",".",".","."
"Undergraduates","","149","3.630","53.7","27.5","12.8","2.7","0.7","",".","0.7",".",".",".",".","0.7",".",".",".","1.3"
"Special","","11","3.619","18.2","36.4",".",".",".","",".",".","27.3",".",".",".",".","9.1","9.1",".","."
"Graduate","","42","3.878","64.3","4.8","7.1",".",".","",".",".","23.8",".",".",".",".",".",".",".","."
"","Dept. Total","202","3.665","54.0","23.3","10.9","2.0","0.5","",".","0.5","6.4",".",".",".","0.5","0.5","0.5",".","1.0"
