"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"821
Issues-Mthds Teachng Fr&Itl","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Smr-Materials&Methods-Rsch","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Smr-Le Theatre Du XX Siecle","001","","10","3.833","60.0","30.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","8","",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","28","",".",".",".",".",".",".",".","75.0","3.6",".",".","21.4",".",".",".","."
