"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","163","2.574","17.2","9.2","25.2","8.6","23.9","11.7","4.3",".",".",".",".",".",".",".",".","."
"","101
002","157","2.340","15.3","7.6","21.7","11.5","17.2","16.6","9.6",".","0.6",".",".",".",".",".",".","."
"Animal Biology","Course Total","320","2.459","16.3","8.4","23.4","10.0","20.6","14.1","6.9",".","0.3",".",".",".",".",".",".","."
"","102
001","6","2.583",".","33.3","33.3","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"","102
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
003","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","10","3.450","50.0","10.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","7","3.071","14.3","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","9","3.333","22.2","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
102","14","3.571","50.0","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","13","3.500","46.2","38.5","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","155","3.384","31.0","31.0","28.4","7.1","1.3","0.6","0.6",".",".",".",".",".",".",".",".","."
"General Botany","130
001","68","2.743","23.5","7.4","29.4","2.9","22.1","14.7",".",".",".",".",".",".",".",".",".","."
"","151
001","181","2.898","10.5","11.6","48.1","12.2","14.9","2.8",".",".",".",".",".",".",".",".",".","."
"","151
002","163","2.853","11.0","12.3","47.2","6.1","18.4","4.3","0.6",".",".",".",".",".",".",".",".","."
"","151
003","99","2.773","10.1","10.1","39.4","11.1","26.3","3.0",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","443","2.853","10.6","11.5","45.8","9.7","18.7","3.4","0.2",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","123","2.890","22.0","9.8","35.8","8.9","15.4","6.5","1.6",".",".",".",".",".",".",".",".","."
"","260
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
004","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research Part 1","Course Total","45","3.933","91.1","4.4","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","8","3.906","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","17","3.103","29.4","11.8","29.4","5.9","11.8","5.9",".",".",".",".",".",".",".","5.9",".","."
"","375
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","34","3.955","97.1",".",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","375
008","141","3.890","87.9","7.1","2.1","2.1",".","0.7",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","210","3.855","85.7","5.7","3.8","2.4","1.0","1.0",".",".",".",".",".",".",".","0.5",".","."
