"MANAGEMENT AND HUMAN RE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","3","***","","","","","","","","","","","","","","","",""
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","088","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","133","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","","11","3.871","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
