"","999
048","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
054","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
062","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","10","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"E C E
320","Dept. Total","2196","3.250","38.1","16.0","17.8","7.1","6.9","2.0","1.0","5.4","",".","0.5",".","4.3","0.5",".","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","27","3.360","44.4","14.8","25.9",".","7.4","3.7",".",".","",".",".",".",".","3.7",".",".","."
"Sophomore","","111","3.201","45.9","16.2","21.6","4.5","7.2","2.7","1.8",".","",".",".",".",".",".",".",".","."
"Junior","","490","3.001","37.3","15.9","19.6","10.6","9.8","3.5","2.7","0.2","",".",".",".",".","0.2",".",".","0.2"
"Senior","","873","3.213","39.4","17.2","21.3","9.3","9.4","2.2","0.5","0.1","",".",".",".",".","0.3",".","0.2","0.1"
"Undergraduates","","1501","3.144","39.3","16.7","20.9","9.2","9.3","2.7","1.3","0.1","",".",".",".",".","0.3",".","0.1","0.1"
"Special","","69","2.896","23.2","14.5","26.1","8.7","11.6","5.8","4.3","4.3","",".",".",".",".","1.4",".",".","."
"Graduate","","723","3.655","32.0","12.4","8.3","1.7","0.6","0.1",".","15.8","",".","14.4","0.4","13.1","0.7",".","0.4","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","2294","3.250","36.5","15.3","17.0","6.8","6.6","2.0","1.0","5.2","",".","4.5","0.1","4.1","0.5",".","0.2","0.1"
