"HEBREW (HEBREW AND SEMITI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","",""
"","101
001","","11","3.682","72.7",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","10","3.833","70.0","10.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","101
003","","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","Course Total","","43","3.786","74.4","9.3","9.3","4.7",".",".",".","2.3",".",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, I","103
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","","13","3.615","53.8","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hebrew","Course Total","","21","3.690","57.1","33.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","211
002","","33","3.667","57.6","24.2","12.1","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","217
001","","26","3.365","53.8","23.1","3.8","3.8","7.7","3.8","3.8",".",".",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241
001","","12","3.450","25.0","25.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Biblical Hebrew I","323
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Archaeology","451
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aramaic I","601
001","","9","3.389","55.6","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Pentateuchal Narratives","643
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","799
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.800","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Dead Sea Scrolls","954
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
