"SCANDINAVIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","",""
"101","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","002","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Norwegian","Course Total","","21","3.643","47.6","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"111","001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"111","002","","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Swedish","Course Total","","29","3.741","58.6","31.0","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"121
First Semester Danish","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"131
First Semester Finnish","001","","9","3.750","55.6","22.2","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"201
Second Year Norwegian","001","","12","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"211
Second Year Swedish","002","","12","3.136","8.3","33.3","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3"
"221
Second Year Danish","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"261
Readings in Swedish Lit","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"271
Readings in Danish Lit","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.824","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"373","001","","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"373","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Scand Lit:Middle Ages-1900","Course Total","","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"404
Languages of Northern Europe","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"407
Old Norse","001","","14","3.536","50.0","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"411
Areas in Scandinavian Lit","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"415
History of Scand Languages II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"434
The Art of Isak Dinesen","001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Scandinavian American Folklore","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"446
Celtic-Scand Cultrl Interrelat","001","","10","3.450","60.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"710
Topics in Depth","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 295 of 410",""
