"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","43","2.791","18.6","14.0","32.6","4.7","18.6","9.3","2.3",".",".",".",".",".",".",".",".","."
"","100
002","44","2.807","22.7","4.5","34.1","11.4","18.2","6.8","2.3",".",".",".",".",".",".",".",".","."
"","100
003","43","2.907","25.6","7.0","32.6","11.6","14.0","9.3",".",".",".",".",".",".",".",".",".","."
"","100
004","41","2.854","22.0","9.8","26.8","9.8","26.8","4.9",".",".",".",".",".",".",".",".",".","."
"","100
005","45","2.933","15.6","17.8","37.8","4.4","22.2",".","2.2",".",".",".",".",".",".",".",".","."
"","100
006","39","2.718","20.5","7.7","25.6","7.7","30.8","5.1","2.6",".",".",".",".",".",".",".",".","."
"","007
100","43","2.965","25.6","11.6","34.9","9.3","7.0","11.6",".",".",".",".",".",".",".",".",".","."
"","100
008","45","3.089","33.3","6.7","40.0","2.2","11.1","4.4","2.2",".",".",".",".",".",".",".",".","."
"","100
009","41","2.939","19.5","17.1","31.7","9.8","14.6","7.3",".",".",".",".",".",".",".",".",".","."
"","100
010","44","3.091","22.7","15.9","36.4","11.4","11.4","2.3",".",".",".",".",".",".",".",".",".","."
"","100
011","43","3.047","27.9","9.3","32.6","9.3","18.6","2.3",".",".",".",".",".",".",".",".",".","."
"","100
012","45","3.078","31.1","17.8","24.4","11.1","6.7","6.7","2.2",".",".",".",".",".",".",".",".","."
"","100
013","48","2.958","22.9","16.7","29.2","12.5","10.4","6.3","2.1",".",".",".",".",".",".",".",".","."
"","100
014","47","2.819","14.9","14.9","34.0","8.5","21.3","4.3","2.1",".",".",".",".",".",".",".",".","."
"","100
015","44","2.886","25.0","11.4","22.7","11.4","25.0","2.3","2.3",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","655","2.927","23.2","12.2","31.8","9.0","16.9","5.5","1.4",".",".",".",".",".",".",".",".","."
"","211
001","54","2.944","24.1","3.7","38.9","7.4","24.1","1.9",".",".",".",".",".",".",".",".",".","."
"","211
002","53","2.849","15.1","11.3","41.5","3.8","22.6","5.7",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","107","2.897","19.6","7.5","40.2","5.6","23.4","3.7",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","300
001","188","3.016","22.9","20.7","23.9","13.3","11.2","3.7","2.1","1.6",".",".",".",".","0.5",".",".","."
"","301
001","48","3.219","29.2","31.3","18.8","8.3","8.3","2.1","2.1",".",".",".",".",".",".",".",".","."
"","301
002","47","3.223","25.5","23.4","31.9","8.5","10.6",".",".",".",".",".",".",".",".",".",".","."
"","301
003","51","3.206","33.3","21.6","19.6","11.8","9.8","3.9",".",".",".",".",".",".",".",".",".","."
"","301
004","37","3.081","24.3","32.4","16.2","5.4","16.2","2.7","2.7",".",".",".",".",".",".",".",".","."
"","301
005","45","3.091","15.6","28.9","31.1","11.1","6.7","4.4",".",".",".",".",".",".","2.2",".",".","."
"Financial Reporting I","Course Total","228","3.170","25.9","27.2","23.7","9.2","10.1","2.6","0.9",".",".",".",".",".","0.4",".",".","."
"Financial Reporting II","302
001","72","3.250","27.8","9.7","51.4","6.9","4.2",".",".",".",".",".",".",".",".",".",".","."
"","310
001","44","3.375","31.8","20.5","45.5",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"","310
002","43","3.349","30.2","27.9","34.9",".","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","87","3.362","31.0","24.1","40.2",".","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","340
001","26","3.269","19.2","34.6","30.8","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","002
340","48","3.427","22.9","43.8","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","340
003","51","3.353","19.6","33.3","45.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
340","46","3.478","30.4","37.0","30.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","171","3.395","23.4","37.4","34.5","4.1","0.6",".",".",".",".",".",".",".",".",".",".","."
"","406
001","30","3.167","20.0","30.0","30.0","10.0","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"","406
002","8","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Advanced Financial Reporting","Course Total","38","3.270","26.3","28.9","26.3","7.9","5.3","2.6",".",".",".",".",".",".","2.6",".",".","."
"","603
001","46","3.587","41.3","34.8","23.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","50","3.490","34.0","30.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","96","3.536","37.5","32.3","30.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","25","3.354","36.0","12.0","32.0","16.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","620
002","36","3.153","16.7","27.8","30.6","19.4","5.6",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","61","3.233","24.6","21.3","31.1","18.0","3.3",".",".","1.6",".",".",".",".",".",".",".","."
