"L&S","","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","2745","3.181","30.8","15.5","15.4","7.7","7.4","2.3","2.5","8.1","",".","6.8","1.2","0.2","0.3","0.2","1.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","157","3.086","42.7","12.1","12.7","5.7","8.9","4.5","3.8",".","",".","8.3","0.6",".","0.6",".",".","."
"Sophomore","","496","3.043","30.8","13.7","19.6","11.3","11.9","2.6","1.6",".","",".","7.7","0.8",".",".",".",".","."
"Junior","","589","2.927","26.7","15.3","18.7","11.2","9.0","3.4","5.6","0.3","",".","7.5","2.0",".",".","0.2","0.2","."
"Senior","","715","3.101","27.1","16.6","18.2","9.9","9.7","2.7","2.1","0.7","",".","7.6","1.8","0.6","0.8","0.4","1.8","."
"Undergraduates","","1957","3.033","29.2","15.1","18.2","10.3","10.0","3.0","3.2","0.4","",".","7.6","1.5","0.2","0.4","0.2","0.7","."
"Special","","68","3.324","42.6","14.7","11.8","4.4","4.4","2.9","2.9","1.5","",".","5.9","1.5",".",".","1.5","5.9","."
"Graduate","","781","3.666","39.1","15.2","7.4","0.9","0.8","0.3","0.6","27.4","",".","4.2","0.3","0.3","0.1","0.1","3.3","."
"Prof Yr 4","","2","",".",".",".",".",".",".",".","50.0","",".",".",".",".",".",".","50.0","."
"Professionals","","2","",".",".",".",".",".",".",".","50.0","",".",".",".",".",".",".","50.0","."
"","Dept. Total","2808","3.181","32.2","15.1","15.1","7.5","7.3","2.2","2.5","7.9","",".","6.6","1.2","0.2","0.3","0.2","1.6","."
