"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","98","3.638","44.9","41.8","9.2","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","96","3.849","86.5","9.4","2.1",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","194","3.742","65.5","25.8","5.7","2.1",".",".","1.0",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450
Families-Individs w/ Disabils","001","","27","3.769","77.8","14.8",".",".",".",".","3.7",".",".",".",".",".","3.7",".",".","."
"469
Acad Instr:Learn & Behav Disab","001","","25","3.880","84.0","12.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","36","3.694","55.6","38.9","2.8",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"471
Meth&Curric:Lrn&Bhv Disabl,K-9","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"473
Mgmt: Stdts/Lrn&Bhv Disability","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"475","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","","4","***","","","","","","","","","","","","","","","",""
"476
Pract:Stdts/Lrn&Bhv Dis, 6-12","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"477","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"477","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"477","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"478","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","","4","***","","","","","","","","","","","","","","","",""
"500
Rehab-Cnslg Psych: Foundatn","001","","49","3.806","69.4","24.5","4.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","17","3.656","64.7","11.8","5.9","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"505
Bio,Psych,&Voc Aspt-Disabil","001","","49","3.653","61.2","20.4","12.2","4.1",".","2.0",".",".",".",".",".",".",".",".",".","."
"506","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"506","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","2","***","","","","","","","","","","","","","","","",""
"540
Assessmnt Adults-Disablties","001","","26","3.788","65.4","26.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Psychosoc Asp-Chrnc Ill&Disabl","001","","27","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","019","","23","3.968","87.0","8.7",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"630","020","","17","3.944","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","40","3.959","87.5","10.0",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"660","040","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","041","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","042","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","38","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"690","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"690","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","19","",".",".",".",".",".",".",".","63.2","5.3",".",".","31.6",".",".",".","."
