"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","23","3.044","34.8","21.7","8.7",".","30.4","4.3",".",".","",".",".","",".",".",".",".",".","."
"Junior","","75","2.915","12.0","29.3","25.3","10.7","5.3","8.0","2.7",".","",".","6.7","",".",".",".",".",".","."
"Senior","","160","3.283","28.1","23.8","15.6","9.4","5.0","3.1",".","0.6","",".","11.9","",".",".","2.5",".",".","."
"Undergraduates","","259","3.146","23.9","25.1","18.1","8.9","7.3","4.6","0.8","0.4","",".","9.3","",".",".","1.5",".",".","."
"Special","","5","3.875","60.0","20.0",".",".",".",".",".","20.0","",".",".","",".",".",".",".",".","."
"Graduate","","68","3.859","39.7","10.3",".",".",".",".",".","16.2","",".",".","",".","33.8",".",".",".","."
"","Dept. Total","332","3.236","27.7","22.0","14.2","6.9","5.7","3.6","0.6","3.9","",".","7.2","",".","6.9","1.2",".",".","."
