"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","33","3.955","97.0",".",".","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","30","3.883","83.3","10.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","63","3.921","90.5","4.8","3.2","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","14","3.143","35.7","28.6","7.1","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","102
002","18","3.694","38.9","61.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","17","3.353","47.1","23.5","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","102
004","17","3.533","52.9","23.5","5.9",".",".",".","5.9","11.8",".",".",".",".",".",".",".","."
"","102
005","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","95","3.511","45.3","34.7","10.5","2.1","2.1",".","3.2","2.1",".",".",".",".",".",".",".","."
"","104
001","14","2.321",".","14.3","21.4","35.7","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","104
002","9","3.056","22.2","33.3","33.3",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","104
003","15","3.200","26.7","33.3","26.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","104
004","17","3.471","23.5","52.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","55","3.036","18.2","34.5","23.6","12.7","3.6",".","7.3",".",".",".",".",".",".",".",".","."
"","107
001","20","3.425","20.0","55.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
107","19","3.421","21.1","47.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","Course Total","39","3.423","20.5","51.3","20.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","108
001","127","3.008","7.9","33.9","29.9","8.7","7.1","6.3",".","0.8",".",".",".",".","3.9",".","1.6","."
"","112
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","17","2.875","11.8","47.1","11.8",".","11.8",".","11.8","5.9",".",".",".",".",".",".",".","."
"","112
003","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","16","3.367","25.0","50.0","6.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"","112
005","14","3.375","14.3","42.9","21.4","7.1",".",".",".","7.1","7.1",".",".",".",".",".",".","."
"","112
006","18","3.361","27.8","33.3","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","112
007","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
008","17","3.618","64.7","29.4",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","112
009","10","3.611","30.0","50.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Drawing I","Course Total","147","3.514","42.2","36.1","10.9","3.4","1.4","0.7","2.0","2.7","0.7",".",".",".",".",".",".","."
"","212
001","16","3.667","50.0","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"","212
002","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
212","12","3.083","41.7","25.0","8.3","8.3",".","8.3","8.3",".",".",".",".",".",".",".",".","."
"","212
004","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","50","3.520","46.0","32.0","14.0","2.0",".","2.0","2.0",".",".",".",".",".",".",".",".","2.0"
"","214
001","6","3.432","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","10","3.441","40.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"","214
003","6","3.694","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"Sculpture I","Course Total","22","3.500","31.8","31.8","22.7","4.5",".",".",".",".",".",".",".",".","4.5",".",".","4.5"
"","222
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","15","3.655","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","32","3.835","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","13","3.625","53.8","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","14","3.802","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","27","3.714","59.3","29.6","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
