"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","003","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102
Beginning Class Piano","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","11","3.636","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"14
Fundamentals: Single Reeds","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","7","3.875","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","11","3.684","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"147
First Year Composition","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","254","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","255","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","16","3.867","75.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"201","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","062","","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"205","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","28","3.903","75.0","14.3","3.6",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"207
Elem/Intmed Flute","010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"223
Elem/Intmed Euphonium","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"225
Elem/Intmed Tuba","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"227
Elem/Intmed Percussion","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"231","009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 271 of 410",""
