"BIOLOGY CORE CURRICULUM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","301
001","","114","3.447","33.3","27.2","35.1","1.8","1.8",".",".",".",".",".",".",".","0.9",".",".","."
"","302
001","","23","3.370","30.4","17.4","47.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","","20","3.400","40.0","10.0","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","302
003","","23","3.348","30.4","8.7","60.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
004","","15","3.367","26.7","20.0","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
005","","15","3.467","40.0","13.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","","96","3.385","33.3","13.5","51.0","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology","323
001","","95","2.984","16.8","12.6","44.2","7.4","16.8","2.1",".",".",".",".",".",".",".",".",".","."
"","324
001","","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","","27","3.574","37.0","40.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","","367","3.324","35.7","18.3","37.3","2.7","5.2","0.5",".",".",".",".",".",".","0.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","89","3.290","23.6","15.7","58.4",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","174","3.380","36.8","20.7","33.9","3.4","4.6",".",".",".",".",".",".",".","0.6",".",".","."
"Senior","","","104","3.256","44.2","16.3","25.0","3.8","8.7","1.9",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","367","3.324","35.7","18.3","37.3","2.7","5.2","0.5",".",".",".",".",".",".","0.3",".",".","."
"","Dept. Total","","367","3.324","35.7","18.3","37.3","2.7","5.2","0.5",".",".",".",".",".",".","0.3",".",".","."
