"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","5","3.900","80.0","20.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","9","3.944","88.9","11.1",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","39","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","80","3.781","65.0","27.5","6.3","1.3",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","299","3.346","11.7","17.4","18.4","2.3","0.3","",".","",".","49.5","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 4","239","4.000","34.7",".",".",".",".","",".","",".","63.6","",".",".","",".","",".",".",".","1.7","."
"Professionals","619","3.553","27.6","12.0","9.7","1.3","0.2","",".","",".","48.5","",".",".","",".","",".","0.2",".","0.6","."
