"","990
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","46","",".",".",".",".",".",".",".","76.1",".",".",".","23.9",".",".",".","."
"M M & I
620","Dept. Total","570","3.705","61.9","12.5","13.3","1.2","1.1","0.7","0.2","6.5",".",".",".","2.5","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","",""
"Sophomore","","7","3.833","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","113","3.648","62.8","15.9","15.0","3.5","0.9","0.9","0.9",".",".",".",".",".",".",".",".","."
"Senior","","271","3.729","67.5","13.7","13.7","0.7","1.8","0.7",".","0.4",".",".",".","1.1","0.4",".",".","."
"Undergraduates","","391","3.707","66.5","14.1","14.1","1.5","1.5","0.8","0.3","0.3",".",".",".","0.8","0.3",".",".","."
"Special","","18","3.571","55.6","11.1","27.8",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Graduate","","115","3.896","56.5","3.5","2.6",".",".",".",".","30.4",".",".",".","7.0",".",".",".","."
"Prof Yr 1","","39","3.522","41.0","25.6","30.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","4","3.250","25.0",".","25.0",".",".",".",".","25.0",".",".",".","25.0",".",".",".","."
"Prof Yr 4","","3","4.000","33.3",".",".",".",".",".",".",".",".",".",".","66.7",".",".",".","."
"Professionals","","46","3.517","39.1","21.7","28.3","2.2",".",".",".","2.2",".",".",".","6.5",".",".",".","."
"","Dept. Total","570","3.705","61.9","12.5","13.3","1.2","1.1","0.7","0.2","6.5",".",".",".","2.5","0.2",".",".","."
