"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","",""
"","365
001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","17","3.906","76.5","17.6",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Based Data Mgt","422
002","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
