"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","91","3.379","23.1","42.9","27.5","4.4",".","2.2",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","153","001","","39","3.346","23.1","33.3","33.3","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","154","001","","7","3.167",".","28.6","57.1",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Fashion Illustration","210","001","","15","3.467","33.3","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","65","2.769","16.9","12.3","27.7","21.5","7.7","13.8",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223","001","","25","3.440","32.0","36.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","14","3.950","64.3","7.1",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Textile Design: Weaving I","229","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253","001","","15","3.267","13.3","33.3","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cloth to Clothing","319","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","","26","3.615","46.2","34.6","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Textiles","430","001","","15","3.300","46.7","20.0","13.3",".","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","","8","3.429","25.0","25.0","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","501","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","008","","6","2.833","50.0",".","16.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"","501","009","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","020","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","021","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","022","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","96","3.848","82.3","12.5","3.1",".","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"Placemaking","545","001","","20","3.550","40.0","35.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561","001","","21","3.024","19.0","28.6","19.0","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","601","001","","12","3.864","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","14","3.833","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Interior Design IV","623","001","","21","3.850","71.4","19.0","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Portfolio Preparation","624","001","","22","3.523","27.3","50.0","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taste","642","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","","Page 147 of 410",""
