"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"289","041","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"289","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","26","3.982","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","60","3.931","90.0","5.0","3.3",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"375","001","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","30","3.450","33.3","30.0","30.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","42","3.500","33.3","33.3","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Introduction-Biochemistry","001","","452","3.119","27.4","12.8","32.3","10.6","13.7","1.5",".","0.9",".",".",".",".","0.7",".",".","."
"507
General Biochemistry I","001","","259","2.873","26.6","8.9","23.9","18.1","10.8","3.1","5.8","0.4",".",".",".",".","1.9",".",".","0.4"
"510
Biochm Prin-Human&Anml Nutr","001","","14","2.893","14.3","35.7","21.4","14.3",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"601
Protein&Enzyme Struct&Funct","001","","55","3.333","21.8","36.4","36.4",".","1.8",".","1.8","1.8",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","22","3.318","45.5","18.2","22.7",".","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"624
Mechanisms of Enzyme Action","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"630
Cellulr Signal Transductn Mech","001","","64","3.189","9.4","18.8","65.6","1.6",".",".",".","1.6",".",".",".",".",".",".","3.1","."
"651
Biochemical Methods","001","","88","3.088","27.3","21.6","22.7","9.1","8.0","6.8","1.1",".",".",".",".",".","3.4",".",".","."
"660
Methods in Biochemistry","001","","22","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
