"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","247","2.579","16.6","9.7","25.1","9.7","23.9","10.1","4.9",".",".",".",".",".",".",".",".","."
"","002
101","233","2.500","14.2","9.0","21.9","12.9","27.5","9.0","5.6",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","480","2.541","15.4","9.4","23.5","11.3","25.6","9.6","5.2",".",".",".",".",".",".",".",".","."
"","102
001","16","2.719",".","12.5","68.8","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"","102
002","18","3.306","33.3","27.8","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.375","35.0","25.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","21","3.310","9.5","42.9","47.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","14","3.286","14.3","50.0","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
007","14","3.357","28.6","35.7","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
008","18","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","18","3.306","27.8","27.8","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
010","18","3.583","33.3","61.1",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","011
102","16","3.281","37.5","25.0","25.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","102
012","17","3.206","17.6","35.3","35.3","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","102
013","15","3.333","20.0","40.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
014","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","14","3.357","35.7","21.4","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
017","14","3.250","35.7","28.6","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","018
102","12","3.208","41.7","16.7","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","294","3.374","32.3","32.0","26.2","4.1","3.1","1.4","1.0",".",".",".",".",".",".",".",".","."
"","151
001","131","2.752","11.5","6.1","46.6","6.9","22.1","6.9",".",".",".",".",".",".",".",".",".","."
"","151
002","141","2.727","6.4","6.4","48.2","14.2","19.9","5.0",".",".",".",".",".",".",".",".",".","."
"","151
003","82","2.537","6.1","6.1","41.5","11.0","25.6","4.9","4.9",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","354","2.692","8.2","6.2","46.0","10.7","22.0","5.6","1.1",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","153","2.839","18.3","9.8","36.6","6.5","22.2","3.9","2.0",".",".",".",".",".",".",".",".","0.7"
"","153
001","26","2.712","19.2","3.8","34.6","7.7","26.9","3.8","3.8",".",".",".",".",".",".",".",".","."
"","153
002","33","2.606","9.1","3.0","45.5","9.1","21.2","12.1",".",".",".",".",".",".",".",".",".","."
"","153
003","34","2.397","5.9","5.9","23.5","20.6","29.4","14.7",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","93","2.559","10.8","4.3","34.4","12.9","25.8","10.8","1.1",".",".",".",".",".",".",".",".","."
"Heredity","160
001","14","3.107","28.6","14.3","28.6","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","260
001","26","3.000","15.4","19.2","30.8","26.9","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","27","3.241","37.0","25.9","14.8","7.4","7.4","7.4",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","140","2.870","17.1","11.4","36.4","5.7","22.9","5.0",".",".",".",".",".",".",".","0.7","0.7","."
"","316
001","19","2.917",".","10.5","68.4","5.3","10.5",".",".",".",".",".",".",".","5.3",".",".","."
"","316
002","23","3.022","13.0","8.7","60.9","13.0",".","4.3",".",".",".",".",".",".",".",".",".","."
"","316
003","20","3.375","20.0","50.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","62","3.107","11.3","22.6","50.0","8.1","4.8","1.6",".",".",".",".",".",".","1.6",".",".","."
"Extinction of Species","360
001","154","3.081","24.0","13.6","39.0","9.1","11.7","1.3","1.3",".",".",".",".",".",".",".",".","."
"","400
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
005","14","3.850","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
