"","919
003","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","919
043","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rsch-Neurological Fields","990
002","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"NEUROL
676","Dept. Total","","15","4.000","93.3","",".","",".",".","",".","",".","",".","",".","",".",".","",".","6.7","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","4","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","7","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","11","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","1","",".","",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","",".",".",".","."
"Prof Yr 3","","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Professionals","","","3","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","","15","4.000","93.3","",".","",".",".","",".","",".","",".","",".","",".",".","",".","6.7","",".",".",".","."
