"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","467
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","467
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Literacy & Language Developmnt","500
001","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Health Info for Teachers","501
001","67","3.627","38.8","50.7","7.5","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
005","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","124","3.984","97.6","1.6","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teach Soc Studies","559
001","15","3.857","73.3","13.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Teacher Ed-Human Sexuality","561
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Iss, Mtls & Mthds-Hlth Educ","567
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Literature and Literacy","632
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg: Number & Generalization","636
001","18","3.667","77.8",".","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Tchg: Algebra & Functions","639
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
001","19","3.816","73.7","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","660
002","22","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Early Childhood Education","Course Total","41","3.905","78.0","9.8",".","2.4",".",".",".",".",".",".",".",".","9.8",".",".","."
"Learning 2nd Lang & Literacies","673
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"","675
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","35","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"","675
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","Section Total","21","3.721","95.2",".",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","675
003","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","675
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
