"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"545
Intro to Atomic Structure","001","","15","3.333","26.7","26.7","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"551
Solid State Physics","001","","28","3.768","60.7","32.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","24","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"711
Theoreticl Physics-Dynamics","001","","37","3.419","35.1","13.5","51.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Statistical Mechanics","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Waves&Instabilities-Plasmas","001","","15","3.714","53.3","26.7","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"731
Quantum Mechanics","001","","31","3.767","64.5","22.6","6.5","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"735
Particle Physics","001","","14","3.538","21.4","57.1","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"746
Quantum Electronics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Linear Waves","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"751
Adv Solid State Physics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Independent Study","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"831
Advanced Quantum Mechanics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Colloquium","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
