"","990
086","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
089","3","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
091","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","36","",".",".",".",".",".","",".","",".","75.0",".",".",".","25.0","",".",".",".","."
"M&ENVTOX
362","Dept. Total","131","3.345","18.3","7.6","13.0","3.1","4.6","",".","",".","45.8",".",".",".","6.9","",".",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","2.250",".",".",".","50.0","50.0","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","12","3.464","50.0","8.3","25.0",".","16.7","",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","14","3.313","42.9","7.1","21.4","7.1","21.4","",".","",".",".",".",".",".",".","",".",".",".","."
"Special","","3","3.000",".",".","66.7",".",".","",".","",".",".",".",".",".",".","",".",".","33.3","."
"Graduate","","112","3.351","15.2","7.1","10.7","2.7","2.7","",".","",".","53.6",".",".",".","8.0","",".",".",".","."
"Prof Yr 4","","2","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","131","3.345","18.3","7.6","13.0","3.1","4.6","",".","",".","45.8",".",".",".","6.9","",".",".","0.8","."
