"TERM : 1122","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2011-2012","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","",""
"POPULATION HEALTH SCIENCE Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"POP HLTH
Dept. Total
810","788","3.823","49.2","12.8","2.5","0.1","0.4","",".","0.1","25.4","0.1","5.5","",".","1.4","1.8","0.1","0.5","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","7","4.000","100.0",".",".",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","4","4.000","100.0",".",".",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Junior","7","3.367","28.6","57.1",".",".","14.3","",".",".",".",".",".","",".",".",".",".",".","."
"Senior","47","3.609","44.7","40.4","8.5",".","4.3","",".",".","2.1",".",".","",".",".",".",".",".","."
"Undergraduates","65","3.614","52.3","35.4","6.2",".","4.6","",".",".","1.5",".",".","",".",".",".",".",".","."
"Special","16","3.794","62.5","25.0",".","6.3",".","",".",".","6.3",".",".","",".",".",".",".",".","."
"Graduate","216","3.823","62.5","13.9","4.2",".",".","",".","0.5","11.6","0.5","0.5","",".","5.1","0.5","0.5","0.5","."
"Prof Yr 1","203","3.867","14.8","1.5","1.0",".",".","",".",".","81.8",".",".","",".",".","0.5",".","0.5","."
"Prof Yr 2","33","3.969","81.8","3.0",".",".",".","",".",".","15.2",".",".","",".",".",".",".",".","."
"Prof Yr 3","15","3.926","86.7","13.3",".",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 4","240","3.865","57.9","15.8","2.1",".",".","",".",".","0.8",".","17.5","",".",".","5.0",".","0.8","."
"Professionals","491","3.878","42.6","9.0","1.4",".",".","",".",".","35.2",".","8.6","",".",".","2.6",".","0.6","."
"Dept. Total","788","3.823","49.2","12.8","2.5","0.1","0.4","",".","0.1","25.4","0.1","5.5","",".","1.4","1.8","0.1","0.5","."
