"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","226","2.945","15.0","11.9","42.5","13.3","15.5","0.9","0.9",".",".",".",".",".",".",".",".","."
"","002
300","192","2.858","15.1","15.1","35.4","10.9","16.1","3.6","2.6","1.0",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","418","2.905","15.1","13.4","39.2","12.2","15.8","2.2","1.7","0.5",".",".",".",".",".",".",".","."
"","320
001","52","2.981","7.7","28.8","28.8","21.2","13.5",".",".",".",".",".",".",".",".",".",".","."
"","320
002","58","2.866","8.6","19.0","29.3","24.1","12.1","3.4",".","1.7",".",".",".",".","1.7",".",".","."
"","320
003","61","3.270","27.9","14.8","42.6","13.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","171","3.047","15.2","20.5","33.9","19.3","8.8","1.2",".","0.6",".",".",".",".","0.6",".",".","."
"","325
001","29","3.362","31.0","24.1","31.0","13.8",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","30","3.333","33.3","23.3","30.0","10.0",".","3.3",".",".",".",".",".",".",".",".",".","."
"","325
003","29","3.138","24.1","20.7","20.7","27.6","6.9",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","88","3.278","29.5","22.7","27.3","17.0","2.3","1.1",".",".",".",".",".",".",".",".",".","."
"","330
001","26","3.396","26.9","23.1","38.5","3.8",".",".",".","3.8",".",".",".",".",".",".","3.8","."
"","330
002","38","3.039","21.1","15.8","26.3","23.7","13.2",".",".",".",".",".",".",".",".",".",".","."
"","003
330","39","3.295","25.6","35.9","17.9","17.9",".","2.6",".",".",".",".",".",".",".",".",".","."
"","330
004","43","3.174","20.9","27.9","34.9","7.0","7.0",".","2.3",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","146","3.208","23.3","26.0","28.8","13.7","5.5","0.7","0.7","0.7",".",".",".",".",".",".","0.7","."
"","365
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
003","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","29","3.879","75.9","24.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","95","3.347","24.2","25.3","47.4","2.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","420
001","24","3.688","58.3","20.8","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","27","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","54","3.509","35.2","35.2","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","56","3.491","37.5","26.8","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","110","3.500","36.4","30.9","29.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","735
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","745
001","29","3.268","13.8","27.6","51.7","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"","745
030","63","3.310","27.0","20.6","39.7","12.7",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","Course Total","92","3.297","22.8","22.8","43.5","9.8",".",".",".","1.1",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","750
001","35","3.515","14.3","68.6","11.4",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","757
001","42","3.726","45.2","54.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
"","999
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
