"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Intro to Microprocessor Sys","353
001","","44","3.239","31.8","22.7","22.7","15.9","4.5",".","2.3",".",".",".",".",".",".",".",".","."
"","354
001","","25","3.271","20.0","40.0","24.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","4.0"
"","354
002","","13","3.154","23.1","53.8",".","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","","38","3.230","21.1","44.7","15.8","5.3","5.3","2.6","2.6",".",".",".",".",".",".",".",".","2.6"
"","355
002","","6","3.500","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","355
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Elect Power for Alt Energy Sys","356
001","","29","3.161","20.7","24.1","31.0","6.9","13.8",".",".","3.4",".",".",".",".",".",".",".","."
"","370
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","","105","3.043","20.0","8.6","48.6","9.5","9.5","2.9",".",".",".",".",".",".",".",".",".","1.0"
"Elec&Elec-mech Power Conver","377
001","","89","3.216","22.5","24.7","33.7","11.2","5.6","1.1",".",".",".",".",".",".","1.1",".",".","."
"","399
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.947","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409
001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","","24","3.152","25.0","20.8","29.2","8.3","8.3","4.2",".","4.2",".",".",".",".",".",".",".","."
"","411
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","411
003","","28","2.696",".","10.7","57.1","14.3","10.7","3.6","3.6",".",".",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","Course Total","","56","2.927","12.5","16.1","42.9","12.5","8.9","3.6","1.8","1.8",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420
001","","21","3.262","33.3","14.3","33.3","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"","427
001","","31","3.850","77.4","9.7","9.7",".",".",".",".",".",".",".",".",".",".",".","3.2","."
"","427
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","427
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Power Systems","Course Total","","42","3.890","83.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","2.4","."
"Digital Signal Processing","431
001","","37","3.000","29.7","5.4","32.4",".","27.0","2.7",".","2.7",".",".",".",".",".",".",".","."
"Communication Systems I","436
001","","10","2.500","20.0","10.0","20.0","10.0","10.0","30.0",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447
001","","7","3.214","42.9","28.6",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computers in Medicine","463
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","489
091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","491
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","","9","3.563","33.3","33.3","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Image Processing","533
001","","31","3.306","41.9","25.8","19.4","3.2","3.2",".","6.5",".",".",".",".",".",".",".",".","."
"Integrated Circuit Design","548
001","","23","3.370","30.4","34.8","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551
001","","42","3.548","42.9","31.0","21.4","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552
001","","39","3.211","15.4","33.3","28.2","17.9","2.6",".",".",".",".",".",".",".","2.6",".",".","."
