"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","203
020","23","3.114","26.1","8.7","30.4","21.7","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"","203
021","23","3.283","13.0","39.1","43.5",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
022","24","3.250","16.7","33.3","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","203
023","24","3.458","29.2","33.3","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
024","22","3.227","18.2","31.8","40.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","203
025","23","3.304","17.4","43.5","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
026","14","2.893","7.1","7.1","50.0","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","203
027","24","3.604","45.8","37.5","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","203
028","23","3.500","21.7","47.8","21.7",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"","203
029","20","3.400","35.0","20.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","616","3.281","24.4","28.2","34.3","5.4","5.8","0.8","0.2","0.5",".",".",".",".","0.5",".",".","."
"","204
001","23","2.630",".","21.7","30.4","17.4","26.1",".","4.3",".",".",".",".",".",".",".",".","."
"","002
204","24","3.438","54.2","25.0","8.3","4.2",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"","204
003","23","3.409","26.1","34.8","30.4",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","004
204","19","3.447","31.6","31.6","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
204","24","3.500","41.7","20.8","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","204
006","23","3.500","39.1","30.4","26.1",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","204
007","19","3.553","42.1","36.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","204
008","22","3.068","27.3","9.1","31.8","13.6","18.2",".",".",".",".",".",".",".",".",".",".","."
"","204
009","21","2.714","9.5","9.5","38.1","9.5","28.6","4.8",".",".",".",".",".",".",".",".",".","."
"","204
010","24","3.125","16.7","37.5","20.8","20.8",".",".","4.2",".",".",".",".",".",".",".",".","."
"","204
011","23","2.848","17.4","13.0","30.4","26.1","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"","204
012","23","3.182","13.0","17.4","56.5","8.7",".",".",".","4.3",".",".",".",".",".",".",".","."
"","204
013","24","2.792","20.8","4.2","45.8","12.5","4.2","4.2","8.3",".",".",".",".",".",".",".",".","."
"","204
014","24","3.370","33.3","12.5","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","4.2"
"","204
015","20","3.600","50.0","30.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","204
016","22","3.455","36.4","27.3","31.8",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","204
017","22","3.318","18.2","31.8","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","018
204","23","2.545","4.3","8.7","34.8","17.4","17.4","13.0",".","4.3",".",".",".",".",".",".",".","."
"","204
019","21","3.452","19.0","52.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
020","23","3.739","69.6","8.7","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
204","23","3.591","56.5","17.4","8.7","8.7","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","204
022","19","3.421","42.1","10.5","42.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","023
204","23","3.609","43.5","39.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","204
025","21","3.619","38.1","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
026","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","556","3.302","32.4","23.9","28.2","7.2","5.0","1.3","1.1","0.5",".",".",".",".","0.2",".",".","0.2"
"Spanish for Spanish Speaker","206
001","10","3.100","10.0","20.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","223
001","176","3.451","43.2","22.2","27.3","2.8","1.7","0.6","1.7","0.6",".",".",".",".",".",".",".","."
"","223
002","23","3.310","34.8","8.7","34.8","4.3","8.7",".",".",".",".",".",".",".",".",".",".","8.7"
"","223
003","23","3.500","43.5","21.7","30.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","Course Total","222","3.443","42.3","20.7","28.4","2.7","2.7","0.5","1.4","0.5",".",".",".",".",".",".",".","0.9"
"","224
002","24","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","15","3.500","46.7","13.3","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","004
224","24","3.750","62.5","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
