"GEOLOGY & GEOPHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","",""
"990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","7","",".",".",".",".",".",".",".","14.3",".",".",".","71.4","14.3",".",".","."
"990","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","54","",".",".",".",".",".",".",".","53.7",".",".",".","44.4","1.9",".",".","."
"991
Seminar: Geophysics","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GEOLOGY
420","Dept. Total","1474","2.961","23.3","13.6","26.2","10.2","15.1","3.6","1.4","3.7",".","0.1",".","1.9","0.4","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","203","2.909","22.2","17.2","28.1","8.9","17.7","3.0","2.5",".",".",".",".",".",".","0.5",".","."
"Sophomore","","371","2.866","18.1","14.0","30.7","13.7","16.7","4.9","1.6","0.3",".",".",".",".",".",".",".","."
"Junior","","372","2.862","19.1","14.8","26.6","11.0","20.2","4.6","1.9","0.3",".","0.3",".",".","0.8",".",".","0.5"
"Senior","","369","3.033","26.8","12.5","28.5","10.6","13.6","3.0","0.5","2.4",".",".",".","1.1","0.5","0.3","0.3","."
"Undergraduates","","1315","2.916","21.4","14.3","28.5","11.3","17.0","4.0","1.5","0.8",".","0.1",".","0.3","0.4","0.2","0.1","0.2"
"Special","","22","3.516","27.3","18.2","4.5","4.5",".","4.5",".","31.8",".",".",".",".",".","4.5","4.5","."
"Graduate","","137","3.709","40.9","6.6","7.3",".",".",".","0.7","26.3",".",".",".","17.5","0.7",".",".","."
"","Dept. Total","1474","2.961","23.3","13.6","26.2","10.2","15.1","3.6","1.4","3.7",".","0.1",".","1.9","0.4","0.2","0.1","0.1"
