"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"","300
003","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","","44","3.886","79.5","18.2","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","","15","3.767","80.0",".","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
005","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","Course Total","","69","3.833","79.7","10.1","7.2","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","302
001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303
001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","14","3.571","64.3","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","003
307","","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","Course Total","","38","3.684","63.2","28.9","2.6","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"","316
001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","Course Total","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing in Workplaces","317
001","","15","3.667","66.7","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Old English","320
001","","24","3.354","54.2","12.5","20.8",".","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"","324
001","","21","3.405","38.1","28.6","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","16","3.313","31.3","18.8","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","Course Total","","37","3.365","35.1","24.3","21.6","16.2","2.7",".",".",".",".",".",".",".",".",".",".","."
"","326
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","326
002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","Course Total","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
002","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
003","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
005","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
006","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","Course Total","","57","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"English Phonology","330
001","","37","3.230","21.6","43.2","16.2","8.1","5.4","5.4",".",".",".",".",".",".",".",".",".","."
"Global Spread of English","332
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","333
001","","47","3.585","31.9","53.2","14.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334
001","","29","3.679","51.7","34.5","6.9",".","3.4",".",".",".",".",".",".",".",".","3.4",".","."
"Techniques&Materials for TESOL","335
001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","338
001","","24","3.271","20.8","41.7","12.5","20.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"","338
002","","17","3.000","23.5","5.9","35.3","17.6","17.6",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","Course Total","","41","3.159","22.0","26.8","22.0","19.5","9.8",".",".",".",".",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362
001","","32","3.328","40.6","15.6","21.9","12.5","9.4",".",".",".",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381
001","","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme in 16th C Eng Lit","402
001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 206 of 410",""
