"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"160
Heredity","001","","96","3.135","37.5","8.3","29.2","6.3","14.6","2.1","2.1",".",".",".",".",".",".",".",".","."
"299","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","094","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","50","3.990","96.0","2.0",".",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"375
Special Topics","011","","36","3.871","72.2","25.0",".",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"466
General Genetics","001","","143","2.399","9.1","6.3","21.7","9.1","38.5","8.4","3.5","1.4","0.7",".",".",".",".","0.7","0.7","."
"545","001","","12","3.000","8.3","25.0","33.3","8.3","16.7",".",".",".",".",".",".",".","8.3",".",".","."
"545","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","17","3.133","11.8","29.4","29.4","5.9","11.8",".",".",".",".",".",".",".","11.8",".",".","."
"550
Molec Approach-Crop Improvt","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Human Genetics","001","","45","3.159","20.0","20.0","31.1","24.4","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"607
Advanced Microbial Genetics","001","","16","3.625","56.3","12.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","6","3.083","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"629
Evolutionary Genetics","001","","17","3.281","29.4","29.4","17.6","11.8",".","5.9",".",".",".",".",".",".",".",".","5.9","."
"677
Advanced Topics in Genetics","001","","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","","Page 27 of 410"
