"Old English","320
001","","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"A Theme-Medieval Eng Lit","362
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Celtic-Scand Cultrl Interrelat","446
001","","9","3.722","44.4","55.6",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Medieval Literature","753
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MEDIEVAL
633","Dept. Total","","37","3.357","29.7","29.7","21.6","8.1","5.4","",".","",".","2.7","",".",".","",".","",".","",".","2.7",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.370","16.7","50.0","16.7","16.7",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","9","3.063","22.2","22.2","22.2","11.1","22.2","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","4","3.577","50.0","25.0","25.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","17","3.436","29.4","29.4","23.5","5.9",".","",".","",".","5.9","",".",".","",".","",".","",".","5.9",".","."
"Undergraduates","","","36","3.341","27.8","30.6","22.2","8.3","5.6","",".","",".","2.8","",".",".","",".","",".","",".","2.8",".","."
"Graduate","","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","37","3.357","29.7","29.7","21.6","8.1","5.4","",".","",".","2.7","",".",".","",".","",".","",".","2.7",".","."
