"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","36","2.771","5.6","5.6","50.0","11.1","25.0",".",".",".","2.8",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","236","3.436","33.1","34.3","22.9","5.5","3.0",".","0.4","0.8",".",".",".",".",".",".",".","."
"","120","001","41","2.915","19.5","12.2","29.3","9.8","29.3",".",".",".",".",".",".",".",".",".",".","."
"","120","002","55","2.718","10.9","20.0","20.0","25.5","14.5","5.5","3.6",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","96","2.802","14.6","16.7","24.0","18.8","20.8","3.1","2.1",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","41","3.910","80.5","12.2","2.4",".",".",".",".","2.4",".",".",".",".","2.4",".",".","."
"Physical Systems of Envr","127","001","30","2.867","16.7","10.0","30.0","23.3","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","002","29","3.121","13.8","24.1","41.4","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","28","2.981","14.3","21.4","28.6","25.0","3.6",".","3.6",".",".",".",".",".",".","3.6",".","."
"Limnology-Aquatic Resources","315","001","52","2.941","23.1","11.5","34.6","3.8","17.3","7.7",".","1.9",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","9","3.222","55.6",".","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","9","2.278",".",".","44.4","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".","."
"","339","001","75","2.842","9.3","9.3","46.7","10.7","20.0",".","1.3",".",".",".",".",".",".","1.3",".","1.3"
"","339","002","65","3.031","21.5","6.2","43.1","12.3","15.4",".",".","1.5",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","140","2.931","15.0","7.9","45.0","11.4","17.9",".","0.7","0.7",".",".",".",".",".","0.7",".","0.7"
"Environmental Economics","343","001","33","2.929","24.2","18.2","21.2","6.1","24.2","3.0","3.0",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","51","3.280","37.3","11.8","31.4","11.8","3.9",".","2.0",".",".",".",".",".",".","2.0",".","."
"Renewable Energy Systems","367","001","19","3.833","63.2","31.6",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Field Ecology Workshop","375","001","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","10","3.556","40.0","30.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","24","3.563","45.8","20.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","16","3.438","31.3","37.5","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","43","3.640","74.4","14.0","9.3",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","43","3.151","16.3","30.2","27.9","18.6","7.0",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","42","3.451","21.4","45.2","31.0",".",".",".",".",".",".",".",".",".",".",".","2.4","."
"Modlng&Analysis of Envr Sys","506","001","18","3.912","83.3","5.6","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Enivr&Hlth-Global Perspective","513","001","20","3.200","25.0","20.0","50.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Renewable Resources Policy","515","001","9","3.063","11.1","55.6","11.1",".",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"Culture and Environment","537","001","8","3.643","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"","600","001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","003","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","9","3.438","55.6",".","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","11.1"
"","600","007","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","","Course Total","58","3.842","82.8","6.9","3.4","3.4","1.7",".",".",".",".",".",".",".",".",".",".","1.7"
"Energy Economics","671","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 151 of 410",""
