"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"553
Aesthetics","001","","21","3.026","4.8","23.8","42.9","9.5","9.5",".",".",".",".",".",".",".","9.5",".",".","."
"555
Political Philosophy","001","","25","3.180","40.0","12.0","28.0","8.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","6","3.342","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"571
Mathematical Logic","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"582
Senior Honors Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599
Directed Study","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"830
Advanced Hist of Philosophy","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"838
Adv Hist-Philos: Kant","001","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"903
Seminar: Epistemology","001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"920
Smr-Philosophy of Science","001","","10","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"935
Smr-Philosophical Analysis","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941
Seminar-Ethics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","30","",".",".",".",".",".",".",".","73.3",".",".",".","26.7",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","2","***","","","","","","","","","","","","","","","",""
