"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","6463","3.001","25.0","14.6","25.4","10.1","14.3","3.2","1.9","3.8","0.0",".","",".","1.3","0.2","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1801","3.059","23.6","17.5","28.4","14.0","13.3","2.1","1.0","0.1",".",".","",".",".","0.1",".",".","."
"Sophomore","","1794","2.976","25.4","14.9","25.2","9.8","18.5","4.1","2.1",".",".",".","",".",".","0.1","0.1",".","."
"Junior","","1272","2.863","22.5","13.8","27.4","11.2","16.7","4.5","3.2","0.1","0.2",".","",".",".","0.2",".",".","0.1"
"Senior","","917","2.936","29.9","12.5","26.6","7.4","14.8","3.9","2.7","0.1",".",".","",".","1.3","0.3",".","0.3","."
"Undergraduates","","5784","2.980","24.9","15.1","26.9","11.1","15.9","3.5","2.1","0.1","0.0",".","",".","0.2","0.1","0.0","0.1","0.0"
"Special","","63","3.132","34.9","17.5","23.8","9.5","6.3","1.6","6.3",".",".",".","",".",".",".",".",".","."
"Graduate","","782","3.564","40.3","7.4","9.0","0.8","0.3",".",".","32.5",".",".","",".","9.1","0.4","0.1","0.3","."
"Prof Yr 3","","6","3.333","33.3",".","33.3",".",".",".",".","33.3",".",".","",".",".",".",".",".","."
"Prof Yr 4","","2","",".",".",".",".",".",".",".",".",".",".","",".","100.0",".",".",".","."
"Professionals","","8","3.333","25.0",".","25.0",".",".",".",".","25.0",".",".","",".","25.0",".",".",".","."
"","Dept. Total","6637","3.001","26.8","14.2","24.8","9.8","13.9","3.1","1.9","3.9","0.0",".","",".","1.3","0.2","0.0","0.1","0.0"
