"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","",""
"Externship","Course Total","66","",".",".",".",".",".","",".","",".","87.9",".",".",".","",".",".",".","12.1","."
"MED SC-V
623","Dept. Total","586","3.402","27.1","7.7","10.8","1.4","1.9","",".","",".","48.0",".",".",".","",".","0.2",".","3.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Junior","","4","3.722","50.0","50.0",".",".",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Senior","","2","4.000","50.0",".",".",".",".","",".","",".",".",".",".",".","",".","50.0",".",".","."
"Undergraduates","","7","3.808","57.1","28.6",".",".",".","",".","",".",".",".",".",".","",".","14.3",".",".","."
"Prof Yr 1","","21","4.000","61.9",".",".",".",".","",".","",".","38.1",".",".",".","",".",".",".",".","."
"Prof Yr 2","","27","4.000","48.1",".",".",".",".","",".","",".","51.9",".",".",".","",".",".",".",".","."
"Prof Yr 3","","234","3.224","10.7","18.4","26.9","3.4","4.7","",".","",".","35.9",".",".",".","",".",".",".",".","."
"Prof Yr 4","","364","4.000","28.6",".",".",".",".","",".","",".","66.5",".",".",".","",".",".",".","4.9","."
"Professionals","","646","3.397","24.0","6.7","9.8","1.2","1.7","",".","",".","53.9",".",".",".","",".",".",".","2.8","."
"","Dept. Total","653","3.402","24.3","6.9","9.6","1.2","1.7","",".","",".","53.3",".",".",".","",".","0.2",".","2.8","."
