"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","122","3.196","32.0","21.3","22.1","9.0","9.8","3.3","0.8","0.8",".",".",".",".","0.8",".",".","."
"Real Estate Law","312
001","43","3.314","27.9","25.6","39.5",".","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","16","3.531","37.5","43.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","410
001","25","3.480","32.0","36.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","36","3.333","30.6","19.4","38.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","40","3.188","17.5","37.5","20.0","20.0","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","23","3.522","21.7","60.9","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","20","3.650","45.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","16","3.500","37.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
002","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Real Estate Finance","770
001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
142","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
142","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","382","3.374","35.6","28.3","22.8","6.3","4.5","1.6","0.3","0.3",".",".",".","0.3","0.3",".",".","."
