"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","36","3.667","63.9","16.7","13.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Veterinary Immunology","001","","82","3.146","4.9","32.9","51.2","8.5","2.4",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","84","3.421","39.3","25.0","17.9","9.5","6.0",".",".",".",".",".",".",".",".",".","2.4","."
"513
Veterinary Virology","001","","82","3.793","64.6","29.3","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","82","3.683","50.0","39.0","8.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"525
Active, Integrated Learning I","001","","82","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","13","3.692","76.9",".","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"559
Veterinary General Path","001","","82","3.732","54.9","36.6","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","001","","82","3.628","40.2","46.3","12.2","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","28","4.000","78.6",".",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"675
Special Topics","001","","12","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","11","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","20","3.875","35.0","10.0",".",".",".",".",".","50.0",".",".",".",".",".",".","5.0","."
"720
Adv Immunology: Crit Thinking","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","001","","16","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".","6.3","."
"775","002","","9","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".","11.1","."
"775","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","30","",".",".",".",".",".",".",".","90.0",".",".",".",".",".",".","10.0","."
"875
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","8","3.875","37.5","12.5",".",".",".",".",".","12.5",".",".",".","25.0","12.5",".",".","."
"990","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
