"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","621
001","48","3.333","20.8","41.7","25.0","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","621
002","43","3.337","20.9","37.2","30.2","11.6",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","91","3.335","20.9","39.6","27.5","9.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"","630
001","40","3.613","47.5","27.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
630","44","3.535","45.5","15.9","34.1","2.3",".",".",".",".",".",".",".",".","2.3",".",".","."
"","003
630","44","3.455","34.1","25.0","38.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","128","3.531","42.2","22.7","32.8","1.6",".",".",".",".",".",".",".",".","0.8",".",".","."
"","700
001","54","3.648","37.0","55.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","56","3.598","26.8","66.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","47","3.617","27.7","68.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","195","3.690","43.1","51.8","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
701","9","3.444","33.3","44.4",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","701
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","10","3.350","30.0","40.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","702
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
001","22","3.386","31.8","27.3","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","706
002","32","3.813","65.6","31.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","54","3.639","51.9","29.6","14.8","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
001","39","3.795","69.2","20.5","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","39","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","40","3.913","85.0","12.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","79","3.937","88.6","10.1","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","24","3.625","45.8","33.3","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","2","***","","","","","","","","","","","","","","","",""
"","999
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","2","***","","","","","","","","","","","","","","","",""
