"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","270","3.252","14.4","36.7","35.6","11.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"","002
300","231","3.159","12.1","32.0","32.9","20.3","2.2",".",".",".",".",".",".",".","0.4",".",".","."
"Marketing Management","Course Total","501","3.209","13.4","34.5","34.3","15.6","2.0",".",".",".",".",".",".",".","0.2",".",".","."
"","305
001","54","3.130","13.0","24.1","46.3","9.3","7.4",".",".",".",".",".",".",".",".",".",".","."
"","305
002","58","3.241","12.1","37.9","39.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","112","3.188","12.5","31.3","42.9","8.0","5.4",".",".",".",".",".",".",".",".",".",".","."
"","310
001","49","3.663","40.8","51.0","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","48","3.792","64.6","31.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","97","3.727","52.6","41.2","5.2","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","48","3.521","62.5",".","31.3",".","4.2",".","2.1",".",".",".",".",".",".",".",".","."
"","365
002","52","3.673","73.1",".","21.2",".","5.8",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","100","3.600","68.0",".","26.0",".","5.0",".","1.0",".",".",".",".",".",".",".",".","."
"","399
144","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
160","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","5","***","","","","","","","","","","","","","","","",""
"Fundamentls-Supply Chain Mgmt","421
001","40","3.263","30.0","17.5","37.5","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","422
001","36","3.306","30.6","22.2","27.8","16.7","2.8",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
001","41","3.838","70.7","22.0","4.9",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Emerging Iss-New Product Devel","440
001","53","3.726","54.7","35.8","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","26","3.635","34.6","57.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","45","3.656","44.4","42.2","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","71","3.648","40.8","47.9","11.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","36","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","30","2.917","10.0","40.0","13.3","10.0","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"","640
002","35","2.809","11.4","17.1","22.9","25.7","14.3","5.7",".",".",".",".",".",".","2.9",".",".","."
"Retail Management","Course Total","65","2.859","10.8","27.7","18.5","18.5","16.9","6.2",".",".",".",".",".",".","1.5",".",".","."
"","700
001","56","3.509","33.9","33.9","32.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","54","3.565","40.7","31.5","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","53","3.528","30.2","45.3","24.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","163","3.534","35.0","36.8","28.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","32","3.578","25.0","65.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","20","3.675","40.0","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","52","3.433","32.7","23.1","42.3","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","22","3.568","36.4","40.9","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Strategy","735
001","32","3.813","81.3",".","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","43","3.860","76.7","18.6","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","90","3.955","88.9","8.9","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
144","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 61 of 410"
