"","967
041","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
043","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Pediatric Pulmonary Clrk-CSC","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"Research","990
070","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PEDIAT
708","Dept. Total","127","3.603","51.2","30.7","15.7",".","",".","",".","",".","1.6","",".",".","",".","",".","",".",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","10","3.960","90.0","10.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","10","3.940","90.0","10.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","22","3.956","90.9","9.1",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","4.000","33.3",".",".",".","",".","",".","",".","66.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","3.250",".","50.0","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","59","3.393","11.9","54.2","32.2",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","1.7","."
"Prof Yr 4","","41","3.950","90.2","9.8",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","102","3.562","43.1","36.3","19.6",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","1.0","."
"","Dept. Total","127","3.603","51.2","30.7","15.7",".","",".","",".","",".","1.6","",".",".","",".","",".","",".",".","0.8","."
