"ENGR PROFESSIONAL DEVELO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"416
001
Engr Applicatns of Statistics","30","3.879","80.0","10.0","6.7",".",".",".",".",".",".","",".",".","",".","","3.3",".",".","."
"430
003
Japanese for Bus & Industry","7","3.900","57.1","14.3",".",".",".",".",".",".",".","",".",".","",".","","28.6",".",".","."
"497
001
Technical Editing","7","3.714","42.9","57.1",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"499
001
Senior Independent Study","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"530
003
Adv Technical Japanese Smr","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"611
001
Engr Economics & Management","29","3.586","44.8","27.6","27.6",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"612
001
Technical Project Management","29","3.983","96.6","3.4",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"613
001
Intl Engr Strategies&Operatns","30","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"629
001
Engine Systems and Controls","17","3.971","94.1","5.9",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"641
001
Essential Skills-Engr Prod","13","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"654
001
Teaching in Science & Engr","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
002","11","3.708","45.5","45.5","9.1",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
003","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
004","17","3.971","94.1","5.9",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
005","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
007","10","3.833","70.0","10.0","10.0",".",".",".",".","10.0",".","",".",".","",".","",".",".",".","."
"690
008","13","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
013","10","4.000","80.0",".",".",".",".",".",".",".",".","",".",".","",".","","20.0",".",".","."
"Course Total
Special Topics in E P D","71","3.921","83.1","9.9","2.8",".",".",".",".","1.4","",".",".","",".","",".","2.8",".",".","."
"699
063
Independent Study","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"E P D
Dept. Total
348","906","3.605","50.4","28.1","13.1","3.1","0.8","0.4","0.4","0.1","",".","1.3","",".","",".","2.0",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","234","3.571","47.0","29.5","17.1","3.4",".","0.4","0.9",".","",".","0.4","",".","",".","1.3",".",".","."
"Sophomore","57","3.570","47.4","35.1","7.0","3.5","1.8",".","1.8",".","",".",".","",".","",".","3.5",".",".","."
"Junior","133","3.387","31.6","39.8","17.3","6.0","2.3","1.5",".",".","",".","0.8","",".","",".","0.8",".",".","."
"Senior","251","3.506","38.6","35.9","15.9","4.0","1.2","0.4","0.4",".","",".","1.6","",".","",".","2.0",".",".","."
"Undergraduates","675","3.504","40.9","34.4","15.9","4.1","1.0","0.6","0.6",".","",".","0.9","",".","",".","1.6",".",".","."
"Special","5","3.800","60.0","40.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","226","3.885","78.8","9.3","5.3",".",".",".",".","0.4","",".","2.7","",".","",".","3.1",".",".","."
"Dept. Total","906","3.605","50.4","28.1","13.1","3.1","0.8","0.4","0.4","0.1","",".","1.3","",".","",".","2.0",".",".","."
