"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","125
007","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
008","17","3.735","47.1","52.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
009","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
010","14","3.571","28.6","64.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","125
011","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
012","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
013","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
014","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
015","18","3.639","27.8","72.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
016","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","269","3.833","72.9","23.4","3.0","0.4",".",".","0.4",".",".",".",".",".",".",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","19","3.795","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peer Ldrshp&Mntrshp-Trans Stdt","350
001","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","620
001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","39","3.995","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","127","3.748","70.1","18.9","7.9","1.6",".","0.8","0.8",".",".",".",".",".",".",".",".","."
"Independent Reading","699
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories of Counseling","800
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","807
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","16","3.967","87.5","6.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Foundation","900
001","9","",".",".",".",".",".",".",".",".",".","88.9",".",".",".",".",".","."
"Couns Psych Practicum","901
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum: Supervision","902
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Advanced","903
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Counseling Psych Externship","904
001","13","",".",".",".",".",".",".",".",".",".","84.6",".",".",".",".",".","."
"Rsch Pract in Counseling Psych","905
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Counseling Psychology","925
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych","950
001","8","3.891","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych II","960
001","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","990
005","8","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
"","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 81 of 410"
