"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","186","3.398","21.0","44.1","31.7","1.1","1.6","0.5",".",".","",".","",".",".","",".","",".",".",".","."
"Intro-Society's Egr Challenges","102
001","147","3.356","26.5","32.7","29.9","5.4","4.8",".",".",".","",".","",".",".","",".","","0.7",".",".","."
"Core Comp for Engr Leaders","103
001","26","3.750","76.9","7.7","7.7","3.8","3.8",".",".",".","",".","",".",".","",".","",".",".",".","."
"","160
001","176","3.673","56.3","29.5","9.7","4.0",".",".","0.6",".","",".","",".",".","",".","",".",".",".","."
"","160
002","180","3.658","54.4","28.3","14.4","1.1","1.1","0.6",".",".","",".","",".",".","",".","",".",".",".","."
"Intro to Engineering Design","Course Total","356","3.666","55.3","28.9","12.1","2.5","0.6","0.3","0.3","",".","",".",".","",".","",".",".",".",".","."
"","301
001","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","301
002","9","3.368","22.2","33.3","22.2","11.1","11.1",".",".",".","",".","",".",".","",".","",".",".",".","."
"Engr & Biology: Tech Symbiosis","Course Total","12","3.375","33.3","25.0","25.0","8.3","8.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"Current Issues in Intl Engr","413
001","18","3.778","55.6","44.4",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","601
001","23","3.674","78.3",".","8.7","4.3","8.7",".",".",".","",".","",".",".","",".","",".",".",".","."
"","601
002","10","3.750","70.0","10.0","20.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Topics-Interdis Engineering","Course Total","33","3.697","75.8","3.0","12.1","3.0","6.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"INTEREGR
496","Dept. Total","778","3.564","42.9","31.7","19.9","2.8","2.1","0.3","0.1","",".","",".",".","",".","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","510","3.525","38.0","33.3","23.1","3.1","1.6","0.4","0.2","",".","",".",".","",".","",".","0.2",".",".","."
"Sophomore","","283","3.647","63.3","21.9","11.0","1.4","1.8",".",".","",".","",".",".","",".","",".",".","0.7",".","."
"Junior","","66","3.625","87.9","7.6","3.0",".","1.5",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","48","3.640","70.8","12.5","8.3","4.2","4.2",".",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","907","3.563","51.3","26.8","17.1","2.4","1.8","0.2","0.1","",".","",".",".","",".","",".","0.1","0.2",".","."
"Special","","8","3.750","62.5","37.5",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","3","3.700","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","918","3.564","51.4","26.9","16.9","2.4","1.7","0.2","0.1","",".","",".",".","",".","",".","0.1","0.2",".","."
