"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","101
001","","15","3.133","53.3","6.7",".","6.7","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"","101
002","","20","3.150","30.0","20.0","35.0",".","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101
003","","14","3.393","57.1","14.3","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","101
004","","20","2.875","35.0","10.0","20.0","5.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","101
006","","10","2.875","10.0","10.0","30.0","10.0","20.0",".",".","20.0",".",".",".",".",".",".",".","."
"","101
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","","82","3.088","36.6","14.6","18.3","4.9","15.9","4.9","2.4","2.4",".",".",".",".",".",".",".","."
"","201
001","","17","3.706","64.7","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","22","3.568","63.6","13.6","18.2",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","","39","3.628","64.1","12.8","20.5",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","225
001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","24","3.739","66.7","12.5","12.5","4.2",".",".",".",".",".",".",".",".",".","4.2",".","."
"4th Yr Compositn & Conversatn","311
001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Portuguese Civilization","361
001","","23","3.548","34.8","30.4","26.1",".",".",".",".","4.3",".",".",".",".","4.3",".",".","."
"Survey-Portug Lit pre 1825","411
001","","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Brazilian Literature","751
001","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","899
022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","990
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
