"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"426
The History of Punishment","001","","41","2.939","9.8","9.8","46.3","26.8","7.3",".",".",".",".",".",".",".",".",".",".","."
"441
Rev&Conflict-Mod Latin Amer","001","","67","3.406","37.3","26.9","23.9","6.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"456
Japan, US-Crisis in Asia","002","","28","3.327","21.4","32.1","25.0","14.3",".",".",".",".",".",".",".",".",".",".","7.1","."
"457
Hist Southeast Asia to 1800","001","","20","3.030","35.0","15.0","15.0","10.0","10.0","5.0","5.0",".",".",".",".",".","5.0",".",".","."
"461
The American West to1850","001","","107","3.328","29.0","37.4","15.9","12.1","3.7","0.9","0.9",".",".",".",".",".",".",".",".","."
"463
Topics in S Asian History","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
Dimensions of Material Culture","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Reading Seminar in History","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"504
Society&Health Care-Am Hist","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Legal Pluralism","001","","8","3.833","62.5",".","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"519
Sexuality,Modernity&Soc Change","001","","15","3.714","60.0","20.0","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"543
Drs & Delusions: Madness & Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"560
Hist of Mass Communication","001","","31","2.741","9.7","3.2","41.9","6.5","32.3",".",".",".",".",".",".",".","6.5",".",".","."
"561
Greek & Roman Med & Phcy","001","","6","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"569
Hist-American Librarianship","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"570
History of Books&Print Culture","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"600","001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","15","3.179","13.3","46.7","26.7",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"600","003","","11","3.545","54.5","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"600","004","","11","3.682","72.7",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"600","008","","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"600","009","","15","3.500","53.3","20.0","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"600","010","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"600","011","","9","3.500","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".","22.2",".","11.1","."
"600","012","","12","3.208","33.3","25.0","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"600","014","","14","3.045","14.3","14.3","28.6","7.1","14.3",".",".",".",".",".",".",".","21.4",".",".","."
"Advanced Seminar in History","Course Total","","127","3.492","48.8","17.3","16.5","5.5","3.9",".","1.6",".",".",".",".",".","5.5",".","0.8","."
"628
Hist-Civ Rghts Movmnt in US","001","","30","3.433","23.3","46.7","26.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"635
Afro-Amer History to 1900","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"680
Honors Thesis Colloquium","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 226 of 410",""
