"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","86","3.088","11.6","27.9","41.9","5.8","9.3","2.3",".",".",".",".",".",".","1.2",".",".","."
"130
General Botany","001","","138","2.746","19.6","8.0","34.1","5.1","21.0","11.6","0.7",".",".",".",".",".",".",".",".","."
"151","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"151","002","","6","2.250",".",".","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"151","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","11","2.591","9.1",".","45.5","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".","."
"152
Introductory Biology","001","","6","2.833","16.7",".","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"160
Heredity","001","","11","2.864","27.3","9.1","36.4",".","9.1","18.2",".",".",".",".",".",".",".",".",".","."
"240
Plants and Man","001","","150","2.894","20.0","4.7","46.7","4.0","16.0","3.3","2.7","1.3",".",".",".",".",".","1.3",".","."
"260
Introductory Ecology","001","","66","3.015","13.6","12.1","47.0","15.2","10.6",".",".",".",".",".",".",".","1.5",".",".","."
"300
Plant Anatomy","001","","25","3.120","28.0","16.0","28.0","16.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"330
Algae","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"370
Grassland Ecology","001","","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"400
Plant Systematics","001","","45","3.375","44.4","11.1","31.1",".","8.9","2.2",".","2.2",".",".",".",".",".",".",".","."
"403
Field Collectns&Identifictn","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"410","002","","23","2.891","34.8","13.0","13.0",".","30.4","4.3","4.3",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","Course Total","","26","2.942","34.6","15.4","11.5","3.8","26.9","3.8","3.8",".",".",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","36","3.114","30.6","11.1","33.3","5.6","11.1","5.6",".","2.8",".",".",".",".",".",".",".","."
"460
General Ecology","001","","40","3.438","45.0","22.5","15.0","10.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","26","2.308","7.7","3.8","19.2","11.5","42.3","15.4",".",".",".",".",".",".",".",".",".","."
"474
Ethnobotany","001","","24","3.696","58.3","20.8","12.5","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"575","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"575","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"629
Evolutionary Genetics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","003","","6","3.893","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 171 of 410",""
