"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"138
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"138
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
006","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
CRC 1st Yr Smr: Lib Arts Educ","51","3.902","84.3","11.8","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"157
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
003","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
004","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
006","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
007","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
008","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
009","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
010","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
011","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
012","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
013","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"157
015","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
016","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
017","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
018","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","206","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"199
052
Directed Study","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","77","3.914","87.0","9.1",".","2.6",".",".",".",".",".",".",".",".","1.3",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","145","3.262","30.3","22.1","30.3","7.6","6.2","0.7","1.4","0.7",".",".",".",".",".","0.7",".","."
"202
001
W Culture:Sci,Tech,Phil II","56","3.292","28.6","26.8","19.6","14.3","3.6","1.8",".","5.4",".",".",".",".",".",".",".","."
"203
001
West Culture:Lit&The Arts I","146","2.613","6.8","19.9","25.3","19.2","13.0","14.4","1.4",".",".",".",".",".",".",".",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","117","3.124","9.4","34.2","39.3","12.8","1.7","1.7","0.9",".",".",".",".",".",".",".",".","."
"209
001
Intro to Global Cultures","239","3.809","72.0","18.0","8.8","0.8",".",".",".","0.4",".",".",".",".",".",".",".","."
"252
001
Contemporary Life Sciences","65","3.138","21.5","10.8","50.8","7.7","9.2",".",".",".",".",".",".",".",".",".",".","."
"275
001","84","3.111","15.5","25.0","34.5","13.1","6.0","2.4",".",".",".",".",".",".","1.2",".","2.4","."
"275
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"275
003","28","3.537","57.1","17.9","10.7","7.1",".",".","3.6",".",".",".",".",".","3.6",".",".","."
"Course Total
Special Topics in ILS","117","3.186","25.6","22.2","28.2","12.0","5.1","2.6","0.9",".",".",".",".",".","1.7",".","1.7","."
"338
001
Peer Mentor 1st-Yr Lib Ed Smr","4","***","","","","","","","","","",".",".",".",".",".",".","."
"357
001
Peer Mentor Seminar","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
001
Interdis in Arts & Humanities","9","3.333","33.3","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"372
001
Interdis Studies-Soc Sciences","13","3.731","69.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
