"","CIVIL AND ENVIRONMENTAL EN Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","72","3.092","9.7","20.8","47.2","19.4","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Fluid Mechanics","310","001","72","2.542","4.2","13.9","20.8","25.0","27.8","8.3",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","82","2.707","11.0","15.9","18.3","28.0","20.7","4.9","1.2",".",".",".",".",".",".",".",".","."
"Hydrology","315","001","26","3.140","19.2","30.8","26.9","3.8","11.5","3.8",".",".",".",".",".",".","3.8",".",".","."
"Environmental Engineering","320","001","103","2.995","26.2","13.6","32.0","2.9","18.4","3.9","1.9",".",".",".",".",".","1.0",".",".","."
"Soil Mechanics","330","001","75","2.716","13.3","25.3","10.7","17.3","18.7","13.3",".",".",".",".",".",".","1.3",".",".","."
"Structural Analysis I","340","001","66","3.250","31.8","21.2","31.8","4.5","7.6","1.5","1.5",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","76","3.153","13.2","23.7","51.3","6.6","2.6",".","1.3","1.3",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","428","001","40","3.513","50.0","12.5","32.5",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","26","3.173","26.9","23.1","23.1","19.2","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Wood Structures I","442","001","42","3.000","9.5","19.0","45.2","14.3","11.9",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","43","2.930","20.9","20.9","20.9","7.0","25.6","4.7",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","32","3.313","31.3","18.8","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","23","3.227","13.0","30.4","43.5","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","52","3.090","7.7","26.9","42.3","13.5","5.8",".",".","1.9",".",".",".",".","1.9",".",".","."
"Water Chemistry","500","001","45","3.600","35.6","48.9","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Traffic Control","574","001","16","3.219","18.8","31.3","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Highway Matl&Constructn","575","001","19","3.667","42.1","42.1","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","56","3.830","66.1","33.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","618","002","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Topic-Hydraulics&Fluid Mech","","Course Total","13","3.857","38.5","15.4",".",".",".",".",".",".",".",".",".",".","46.2",".",".","."
"Special Topics-Envir Engr","629","001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639","001","16","3.313","18.8","37.5","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","639","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","639","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Geotechnical Engr","","Course Total","20","3.250","15.0","35.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Highway Bridges","641","001","20","3.667","45.0","30.0","15.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Topic-Transprtatn&City Plan","679","001","11","3.045","27.3","9.1","36.4",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"Mgmt-Civil Infrastruct Sys","694","001","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","698","001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","003","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","698","008","27","3.463","66.7","3.7","7.4",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","698","009","26","3.827","88.5","3.8","3.8",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"","698","010","29","3.810","79.3","10.3","6.9",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Topics:Constructn Engr&Mgmt","","Course Total","104","3.707","72.1","12.5","6.7",".","6.7","1.0",".",".",".",".",".",".","1.0",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 112 of 410",""
