"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ENGLISH
350","Dept. Total","5134","3.452","36.0","24.5","16.4","5.2","2.4","0.6","0.8","0.7","0.0","10.3","0.5","2.0","0.5","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1248","3.562","38.8","26.7","14.3","3.3","0.7","0.5","0.4",".",".","14.2","1.1",".",".",".",".","0.1"
"Sophomore","","1119","3.362","29.5","28.8","21.0","6.3","3.3","0.4","1.2",".",".","8.8","0.3",".","0.4","0.1",".","."
"Junior","","939","3.310","33.2","24.6","21.9","9.4","3.5","1.0","1.8",".",".","3.5","0.2",".","0.7",".",".","0.1"
"Senior","","1130","3.453","41.6","27.5","17.4","5.6","3.9","0.9","0.7","0.2",".","0.7",".","0.7","0.5",".","0.3","."
"Undergraduates","","4436","3.425","36.0","27.0","18.4","5.9","2.8","0.7","1.0","0.0",".","7.1","0.4","0.2","0.4","0.0","0.1","0.0"
"Special","","135","3.364","14.1","14.1","11.9","3.0","0.7","0.7",".","3.7",".","48.1","3.0",".",".","0.7",".","."
"Graduate","","545","3.892","42.4","7.3","1.5","0.2",".",".",".","5.0","0.2","24.2","0.4","17.2","1.7",".",".","."
"Prof Yr 4","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professionals","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","Dept. Total","5134","3.452","36.0","24.5","16.4","5.2","2.4","0.6","0.8","0.7","0.0","10.3","0.5","2.0","0.5","0.0","0.1","0.0"
