"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"299","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"301
General Soil Science","001","","62","2.650","11.3","25.8","22.6",".","22.6","8.1","6.5","3.2",".",".",".",".",".",".",".","."
"321
Soils and Environmental Chem","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"324
Soils and Envrnmtl Quality","001","","17","2.971","11.8","35.3","23.5","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"325
Pedology","001","","18","3.028","5.6","22.2","50.0","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"332
Turfgrass Nutrient&Water Mgmt","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"370
Grassland Ecology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","18","3.969","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","3.925","87.0",".","8.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"499
Soil Management","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"523
Soil Microbiology & Biochem","001","","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","9","3.750","11.1","11.1",".",".",".",".",".","66.7",".",".",".",".",".",".","11.1","."
"622
Soil Physics","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"728
Graduate Seminar","001","","20","3.600","5.0","20.0",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"799","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Soil Science Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","23","",".",".",".",".",".",".",".","73.9",".",".",".","21.7","4.3",".",".","."
