"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","155
001","20","3.375","30.0","45.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","003
155","19","3.553","52.6","31.6","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","155
004","20","3.125","5.0","40.0","30.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
005","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","19","3.605","42.1","36.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.816","60.0","35.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","155
008","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","18","3.778","72.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","20","3.450","50.0","30.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
011","20","3.400","30.0","25.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
012","20","3.200","15.0","40.0","40.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
013","19","3.765","52.6","31.6","5.3",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"","155
014","19","3.737","68.4","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","155
015","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","274","3.561","46.0","31.4","16.1","3.6","0.4","0.4","1.1",".",".",".",".",".","1.1",".",".","."
"Teams & Engr Profession","265
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","275
001","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
275","19","3.684","52.6","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","20","3.842","70.0","20.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","275
007","17","3.588","52.9","35.3","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","93","3.728","60.2","29.0","7.5","1.1",".","1.1",".",".",".",".",".",".","1.1",".",".","."
"Basic Technical Japanese I","330
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","374
003","7","",".",".",".",".",".",".",".",".",".","85.7",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","18","3.265","11.1","38.9","33.3","11.1",".",".",".",".",".",".",".",".","5.6",".",".","."
"","397
002","16","3.125","12.5","25.0","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","397
003","22","3.310","22.7","40.9","18.2","9.1",".","4.5",".",".",".",".",".",".","4.5",".",".","."
"","397
004","19","3.158","15.8","31.6","31.6","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","397
005","22","3.386","18.2","54.5","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
006","17","3.206","29.4","35.3","11.8","17.6",".",".","5.9",".",".",".",".",".",".",".",".","."
"","397
007","19","3.778","52.6","42.1",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","397
008","19","3.474",".","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","8","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","18","3.028","11.1","33.3","27.8","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","397
013","21","3.571","38.1","38.1","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","20","3.139","15.0","15.0","45.0","10.0","5.0",".",".",".",".",".",".",".","10.0",".",".","."
"Technical Communication","Course Total","257","3.387","25.3","42.0","20.6","6.6","2.3","0.8","0.4",".",".",".",".",".","1.9",".",".","."
"Tech Communications Intrshp","398
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Independent Study","399
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
