"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","228
003","","17","3.466","23.5","47.1","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","228
005","","14","3.677","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","71","3.520","31.0","45.1","18.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","11","3.857","63.6","27.3",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","271
002","","19","3.702","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","13","3.232","23.1","30.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","43","3.601","46.5","32.6","11.6","7.0",".",".",".","2.3",".",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","37","3.919","91.9","5.4",".",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","311
001","","11","3.000","18.2","18.2","36.4",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","23","3.717","65.2","13.0","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","20","3.325","30.0","40.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","Course Total","","43","3.535","48.8","25.6","20.9","2.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"","322
001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","Course Total","","33","3.727","60.6","24.2","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
001","","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","347
002","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","Course Total","","27","3.778","70.4","22.2","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348
001","","18","3.382","22.2","38.9","22.2","11.1",".",".",".",".",".",".",".",".",".",".","5.6","."
"French-Reading Knowledge","391
001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings in Early Modern Lit","431
001","","9","3.333","44.4","22.2","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Francophone Modernity Studies","449
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"French/Francophone Lit Studies","461
001","","14","3.308","35.7","21.4","14.3","7.1","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"French/Francophone Cultrl Stdy","462
001","","12","3.636","33.3","50.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Undergrad Smr-Fr Literary Stdy","567
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Phonetics","590
001","","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grammaire avancee","615
001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","8","3.125","25.0","50.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle","639
001","","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Poesie Francaise-XIX Siecle","657
001","","8","3.750","37.5","37.5",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"","681
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Prof French Masters Prg Intern","793
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
024","","27","3.963","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","30","3.873","93.3","3.3",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Romance Philology","817
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"College Teaching of French","820
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
