"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","159","3.519","55.3","17.0","13.2","6.9","5.7","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","165","3.527","52.7","21.2","11.5","8.5","4.2","1.2",".","0.6",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","32","3.375","25.0","31.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","30","3.914","83.3","10.0","3.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"471
Parent-Child Relations","001","","32","3.656","43.8","50.0","3.1",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"474
Racial Ethnic Families in U.S.","001","","31","3.613","71.0","3.2","6.5","16.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"501","001","","32","3.609","59.4","9.4","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"501","003","","12","3.667","66.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"501","008","","17","3.853","88.2",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"501","011","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"501","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"501","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","84","3.743","76.2","4.8","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"516
Family Stress and Coping","001","","30","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Couple Relationships","001","","32","3.484","40.6","21.9","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","29","3.982","93.1","3.4",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"601","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","34","3.984","94.1","2.9",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"650
Parent Educ & Support Programs","001","","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","29","3.810","79.3","13.8",".","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"664
Prosmr:Human Dev & Fam Studies","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"761
Childhood and the Family","001","","13","3.654","76.9","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"865
Family Theory I (Survey)","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Bridging Gap: Rsch & Action","001","","8","3.500","37.5","12.5","37.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","",".",".",".",".",".",".",".","85.7","7.1",".",".","7.1",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
