"","935
004","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","935
005","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","935
006","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"St Mary's Fam Med Sub-Intrnshp","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","","","","",""
"FAM MED
370","Dept. Total","","57","3.943","31.6","3.5","",".",".","",".","",".","",".","61.4","",".",".","",".","",".","",".",".","3.5","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","","29","",".",".","",".",".","",".","",".","",".","93.1","",".",".","",".","",".","",".",".","6.9","."
"Prof Yr 2","","","8","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","18","3.938","88.9","11.1","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","55","3.938","29.1","3.6","",".",".","",".","",".","",".","63.6","",".",".","",".","",".","",".",".","3.6","."
"","Dept. Total","","57","3.943","31.6","3.5","",".",".","",".","",".","",".","61.4","",".",".","",".","",".","",".",".","3.5","."
