"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Appl Mathematical Analysis","322
001","14","2.714","28.6","7.1","21.4","7.1","21.4","7.1","7.1",".",".",".",".",".",".",".",".","."
"Intro:Prob&Markov Chain Mod","331
001","14","2.679","50.0",".",".","7.1","21.4","7.1","14.3",".",".",".",".",".",".",".",".","."
"","340
001","76","2.316","15.8","5.3","19.7","13.2","19.7","18.4","7.9",".",".",".",".",".",".",".",".","."
"","340
002","94","3.128","27.7","20.2","27.7","6.4","8.5","2.1","3.2","1.1",".",".",".",".","1.1","2.1",".","."
"Elem Matrix&Linear Algebra","Course Total","170","2.756","22.4","13.5","24.1","9.4","13.5","9.4","5.3","0.6",".",".",".",".","0.6","1.2",".","."
"Linear Algebra","341
002","30","2.483","20.0","10.0","20.0","6.7","26.7","3.3","13.3",".",".",".",".",".",".",".",".","."
"","375
001","35","3.114","54.3","2.9","8.6","8.6","17.1","2.9","5.7",".",".",".",".",".",".",".",".","."
"","375
002","22","3.429","36.4","31.8","18.2","4.5",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","Course Total","57","3.232","47.4","14.0","12.3","7.0","10.5","3.5","3.5","1.8",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415
001","19","3.389","31.6","36.8","15.8","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","421
002","49","3.194","36.7","14.3","24.5","12.2","6.1","6.1",".",".",".",".",".",".",".",".",".","."
"","431
001","35","2.971","28.6","17.1","22.9","11.4","8.6","8.6","2.9",".",".",".",".",".",".",".",".","."
"","431
002","34","3.364","47.1","23.5","14.7",".","5.9",".","5.9",".",".",".",".",".","2.9",".",".","."
"","431
003","35","2.686","25.7","17.1","11.4","11.4","14.3","14.3","5.7",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","104","3.000","33.7","19.2","16.3","7.7","9.6","7.7","4.8",".",".",".",".",".","1.0",".",".","."
"Intro to Modern Algebra","441
001","21","3.190","28.6","14.3","28.6","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443
001","13","2.731","23.1","15.4","7.7","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".","."
"College Geometry I","461
002","36","3.153","38.9","19.4","22.2",".","8.3","8.3","2.8",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","29","3.293","27.6","27.6","27.6","10.3","6.9",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","11","2.900","36.4",".","27.3",".","18.2",".","9.1","9.1",".",".",".",".",".",".",".","."
"","521
001","33","2.818","36.4",".","27.3",".","24.2","6.1","6.1",".",".",".",".",".",".",".",".","."
"","521
002","30","3.033","36.7","16.7","16.7","10.0","10.0","3.3","6.7",".",".",".",".",".",".",".",".","."
"","521
003","31","3.290","32.3","22.6","25.8","9.7","9.7",".",".",".",".",".",".",".",".",".",".","."
"Analysis I","Course Total","94","3.043","35.1","12.8","23.4","6.4","14.9","3.2","4.3",".",".",".",".",".",".",".",".","."
"Analysis II","522
001","11","3.722","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","18.2","."
"Linear Programming Methods","525
001","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","541
001","27","2.648","37.0","11.1","7.4","7.4","14.8","7.4","14.8",".",".",".",".",".",".",".",".","."
"","541
002","39","2.577","25.6","12.8","2.6","20.5","23.1","5.1","10.3",".",".",".",".",".",".",".",".","."
"Modern Algebra","Course Total","66","2.606","30.3","12.1","4.5","15.2","19.7","6.1","12.1",".",".",".",".",".",".",".",".","."
"Elementary Topology","551
001","22","2.524","40.9","9.1","4.5",".","9.1","13.6","18.2","4.5",".",".",".",".",".",".",".","."
"Elementary Number Theory","567
001","31","3.097","45.2","19.4","6.5","6.5","9.7","6.5","6.5",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571
001","16","3.031","50.0","12.5","6.3","6.3","6.3","12.5","6.3",".",".",".",".",".",".",".",".","."
"Stochastic Methods for Biology","605
001","13","3.875","69.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Complex Analysis","623
001","11","3.091","27.3","18.2","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"Intro to Fourier Analysis","627
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","30","3.117","30.0","16.7","33.3",".","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
