"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"284
Honors Intro to German Lit","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Literatur des 19. Jahrhunderts","001","","10","3.611","30.0","50.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"311","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"311","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Dutch-Grad Stdts","Course Total","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"313
3rd Sem Dutch-Grad Stdts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"335
Dutch Conversatn&Compositn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"337
Adv Compositn & Conversatn","001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"351
Intro to German Linguistics","001","","45","3.356","31.1","35.6","15.6","8.9","8.9",".",".",".",".",".",".",".",".",".",".","."
"362
Topics in German Literature","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"372
Topics in German Culture","001","","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"391
German for Grad Reading I","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","10","3.813","50.0","30.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"402","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"402","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","5","***","","","","","","","","","","","","","","","",""
"403","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"403","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"403","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"403","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"403","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem German for Grad Stdts","Course Total","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"404
4th Sem German for Grad Stdts","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Kultur 1648-1918","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"560
Topics in German Studies","001","","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"650
History-German Language","001","","13","3.833","76.9","7.7",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"677
Smr-German Culture Studies","001","","17","3.412","35.3","29.4","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"708
19th Century German Literature","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
College Teaching of German","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Theory of Teaching German","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"723
Pract-Teachng Undergrad Lit","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"724","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"724","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Teach Undergrad Ling","Course Total","","5","***","","","","","","","","","","","","","","","",""
"755
Old Germanic Languages","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 220 of 410",""
